# unit,against,margin: mean surviving-value margin of `unit` over `against` at equal metal (+1 wiped them untouched, -1 the reverse).
# Mean of the tight and wide formation tables in docs/data/duels-2026-09-19 (run/matches duel harness, docs/harness/duels.md).
armrock,armjeth,0.838
armrock,armllt,0.399
armrock,armpw,-0.227
armrock,armrock,0.030
armrock,armstump,-0.329
armrock,armwar,-0.425
armrock,corak,-0.132
armrock,corcrash,0.819
armrock,corfav,0.275
armrock,corgator,-0.452
armrock,corlevlr,-0.707
armrock,corllt,0.457
armrock,cormist,0.490
armrock,corraid,-0.302
armrock,corstorm,-0.235
armrock,corthud,-0.487
armrock,corwolv,0.341
armstump,armart,0.483
armstump,armfav,0.430
armstump,armflash,-0.143
armstump,armflea,0.511
armstump,armham,-0.343
armstump,armjanus,-0.265
armstump,armjeth,0.831
armstump,armllt,0.579
armstump,armpw,0.077
armstump,armrock,0.329
armstump,armstump,0.042
armstump,armwar,-0.224
armstump,corak,0.281
armstump,corcrash,0.868
armstump,corfav,0.443
armstump,corgator,0.041
armstump,corlevlr,-0.682
armstump,corllt,0.589
armstump,cormist,0.641
armstump,corraid,-0.171
armstump,corstorm,0.159
armstump,corthud,-0.262
armstump,corwolv,0.450
armwar,armart,0.707
armwar,armfav,0.650
armwar,armflash,0.304
armwar,armflea,0.834
armwar,armham,0.120
armwar,armjanus,-0.087
armwar,armjeth,0.995
armwar,armllt,0.461
armwar,armpw,0.158
armwar,armrock,0.425
armwar,armstump,0.224
armwar,armwar,-0.028
armwar,corak,0.474
armwar,corcrash,0.992
armwar,corfav,0.746
armwar,corgator,0.348
armwar,corlevlr,-0.621
armwar,corllt,0.473
armwar,cormist,0.595
armwar,corraid,0.124
armwar,corstorm,0.186
armwar,corthud,-0.253
armwar,corwolv,0.611
corak,armart,0.485
corak,armfav,0.646
corak,armflash,-0.177
corak,armflea,0.546
corak,armham,-0.378
corak,armjanus,-0.246
corak,armjeth,0.921
corak,armllt,-0.178
corak,armpw,-0.146
corak,armrock,0.132
corak,armstump,-0.281
corak,armwar,-0.474
corak,corak,-0.056
corak,corcrash,0.887
corak,corfav,0.591
corak,corgator,-0.140
corak,corlevlr,-0.922
corak,corllt,-0.133
corak,cormist,0.252
corak,corraid,-0.406
corak,corstorm,-0.184
corak,corthud,-0.363
corak,corwolv,0.443
corcrash,armart,-0.381
corcrash,armfav,-0.786
corcrash,armflash,-0.973
corcrash,armflea,-0.608
corcrash,armham,-0.939
corcrash,armjanus,-0.800
corcrash,armjeth,0.000
corcrash,armllt,-0.870
corcrash,armpw,-0.799
corcrash,armrock,-0.819
corcrash,armstump,-0.868
corcrash,armwar,-0.992
corcrash,corak,-0.887
corcrash,corcrash,0.000
corcrash,corfav,-0.758
corcrash,corgator,-0.934
corcrash,corlevlr,-0.967
corcrash,corllt,-0.994
corcrash,cormist,-0.900
corcrash,corraid,-0.883
corcrash,corstorm,-0.925
corcrash,corthud,-0.935
corcrash,corwolv,-0.445
corfav,armart,0.108
corfav,armfav,0.186
