t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,42.7,0,0,0,0,0
20,2.00,2.00,50.4,49.4,0,0,0,0,0
30,2.00,2.00,80.4,79.3,0,0,0,0,0
40,2.00,2.00,97.5,97.6,0,0,0,0,0
50,2.00,2.00,97.2,97.3,0,0,0,0,0
60,2.00,2.00,97.9,97.8,0,0,0,0,0
70,2.00,2.00,97.8,97.8,0,0,0,0,0
80,2.00,2.00,98.0,98.0,0,0,54,54,0
90,2.00,2.00,98.0,98.0,0,0,108,108,0
100,4.00,2.00,97.9,97.9,1,1,108,108,0
110,4.00,4.00,104.8,104.9,1,1,108,108,0
120,6.00,6.00,104.9,104.8,2,2,228,108,0
130,6.00,6.00,104.4,104.4,2,2,228,228,0
140,6.00,6.00,104.9,105.0,2,2,348,348,0
150,6.00,6.00,105.0,104.9,2,2,348,348,0
160,6.00,6.00,104.3,104.3,2,2,402,348,0
170,6.00,6.00,103.6,104.3,2,2,402,402,0
180,6.00,6.00,96.5,96.8,2,2,456,456,0
190,6.00,6.00,113.7,97.9,2,2,456,456,0
200,6.00,6.00,116.4,116.4,2,2,456,456,0
210,7.00,7.00,141.9,141.6,2,2,456,456,0
220,7.00,7.00,144.3,143.9,2,2,456,456,1
230,7.00,7.00,144.8,145.4,2,2,576,456,1
240,7.00,7.00,145.3,144.7,2,2,576,456,1
250,7.00,7.00,145.0,145.0,2,2,576,576,1
260,7.00,6.20,145.6,145.8,2,2,576,576,2
270,6.00,6.58,145.7,145.5,2,2,696,696,2
280,8.70,6.93,145.2,145.2,3,2,750,696,2
290,8.70,8.90,145.6,145.8,3,3,750,696,2
300,8.30,8.46,145.7,145.4,3,3,804,750,2
310,8.60,10.86,123.9,141.8,3,4,804,804,2
320,8.30,10.00,114.4,116.9,3,4,804,804,2
330,8.00,10.00,79.9,89.2,3,4,804,804,2
340,10.00,10.00,122.7,122.7,4,4,804,804,2
350,11.30,13.21,177.2,191.2,4,5,804,924,2
360,11.00,12.96,198.4,212.2,4,5,924,924,3
370,13.00,14.96,181.3,199.9,5,6,1044,1044,9
380,12.30,14.19,164.2,171.2,5,6,1044,1098,9
390,13.40,15.38,220.1,229.2,5,6,1098,1152,10
400,13.90,16.00,237.5,244.5,5,7,1152,1152,10
410,12.00,16.43,174.1,170.1,5,7,1152,1152,10
420,12.60,17.15,256.4,264.5,5,7,1152,1152,10
430,16.00,20.76,295.1,291.5,6,8,1152,1272,10
440,12.60,19.16,310.4,312.0,5,8,1272,1392,13
450,16.60,20.19,304.6,303.4,6,8,1392,1392,14
460,14.00,24.24,261.7,290.5,6,10,1446,1446,15
470,17.70,23.25,244.9,242.3,7,10,1500,1500,15
480,20.80,26.99,316.3,334.0,8,11,1500,1500,15
490,23.40,25.23,334.4,348.7,9,11,1500,1500,15
500,23.50,29.26,346.9,354.0,9,12,1500,1500,15
510,20.70,28.93,346.9,353.8,9,12,1620,1620,15
520,20.70,28.52,347.0,354.0,8,12,1740,1740,16
530,24.70,28.29,346.9,354.0,10,12,1740,1794,16
540,24.80,29.16,346.9,353.8,10,13,1794,1794,16
550,24.10,29.27,344.4,351.5,10,13,1848,1848,16
560,24.40,29.27,338.5,351.3,10,13,1848,1902,16
570,22.00,28.00,223.2,240.0,10,13,1848,1956,16
580,20.00,28.00,234.6,246.3,10,13,1956,2184,16
590,20.00,28.00,257.1,295.7,10,13,2184,2238,16
600,13.00,28.00,175.0,217.2,10,13,2304,2358,17
