t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,865,1000,2.00,30.0,0,0,300,0,0,0,0,0,1.00,3,300
20,834,897,4.00,50.0,1,0,300,0,0,0,0,0,1.00,3,390
30,589,826,4.00,50.0,1,0,300,0,0,0,0,0,1.00,3,390
40,389,783,4.00,50.0,1,0,450,1,0,0,0,0,1.00,3,390
50,244,597,4.00,70.0,1,0,450,1,0,0,0,0,1.00,3,390
60,215,363,4.00,70.0,1,0,450,1,0,0,0,0,1.00,3,390
70,196,155,6.00,77.0,2,0,530,1,1,0,0,0,1.00,3,390
80,169,22,6.00,89.7,2,0,530,1,1,0,0,0,1.00,3,390
90,176,179,6.00,96.7,2,0,610,1,2,0,0,0,1.00,3,390
100,146,80,6.00,96.7,2,0,610,1,2,0,0,0,1.00,3,390
110,126,42,8.00,109.4,3,0,690,1,3,0,0,0,1.00,3,390
120,114,0,8.00,116.4,3,0,690,1,3,0,0,0,0.88,3,390
130,145,65,10.00,119.9,4,0,770,1,4,0,0,0,1.00,3,390
140,154,418,10.00,123.4,4,0,770,1,4,0,0,0,1.00,3,390
150,70,68,10.00,123.4,4,0,770,1,4,0,0,0,1.00,3,390
160,44,93,14.00,130.4,6,0,850,1,5,0,0,0,1.00,3,390
170,62,465,14.00,163.1,6,0,850,1,5,0,0,0,1.00,3,390
180,21,473,18.00,170.1,8,0,930,1,6,0,0,0,1.00,3,390
190,18,846,18.00,182.8,8,0,930,1,6,0,0,0,1.00,3,390
200,20,1037,18.00,205.5,8,0,930,1,6,0,1,130,1.00,3,390
210,23,934,22.00,228.2,10,0,930,1,6,0,2,184,1.00,3,390
220,71,1336,22.00,228.2,10,0,930,1,6,0,2,184,1.00,3,390
230,90,1356,22.00,253.6,10,0,930,1,6,0,3,314,1.00,3,451
240,141,1564,24.00,266.3,11,0,930,1,6,0,3,314,1.00,3,509
250,140,1323,26.00,266.3,12,0,930,1,6,0,3,314,1.00,3,509
260,154,1432,28.00,279.0,13,0,1130,1,6,1,4,584,1.00,3,538
270,128,1013,30.00,291.7,14,0,1130,1,6,1,5,854,1.00,3,538
280,151,1054,32.00,291.7,15,0,1130,1,6,1,6,974,1.00,3,538
290,210,1656,32.00,311.7,15,0,1130,1,6,1,8,1224,1.00,3,670
300,157,1283,32.00,311.7,15,0,1130,1,6,1,9,1344,1.00,3,862
310,80,610,32.00,311.7,15,0,1130,1,6,1,10,1614,1.00,3,862
320,105,350,36.00,344.4,17,0,1130,1,6,1,10,1614,1.00,3,862
330,170,1092,36.00,377.1,17,0,1330,1,6,2,12,2014,1.00,3,862
340,211,1756,36.00,377.1,17,0,1330,1,6,2,14,2264,1.00,3,1066
350,132,939,36.00,389.8,17,0,1330,1,6,2,15,2384,1.00,3,1406
360,57,217,36.00,416.1,17,0,1330,1,6,2,16,2654,1.00,3,1406
370,109,826,40.00,435.2,19,0,1330,1,6,2,18,3054,1.00,3,1406
380,155,1341,40.00,460.6,19,0,1330,1,6,2,20,3454,1.00,3,1406
390,108,385,40.00,460.6,19,0,1330,1,6,2,21,3724,1.00,3,1406
400,130,0,40.00,498.7,19,0,1330,1,6,2,22,3778,0.84,3,1406
410,189,1330,40.00,498.7,19,0,1530,1,6,3,24,4168,1.00,3,1406
420,237,1719,42.00,511.4,20,0,1530,1,6,3,26,4558,1.00,3,1493
430,228,1022,42.00,511.4,20,0,1530,1,6,3,29,5012,1.00,3,1812
440,159,0,42.00,511.4,20,0,1530,1,6,3,30,5282,0.57,3,1812
450,207,985,42.00,511.4,20,0,1530,1,6,3,33,5812,1.00,3,1812
460,177,1136,42.00,536.8,20,0,1530,1,6,3,35,6202,1.00,3,1812
470,125,718,42.00,549.5,20,0,1530,1,6,3,37,6462,1.00,3,1812
480,80,226,44.00,549.5,21,0,1730,1,6,4,39,6862,1.00,3,1812
490,130,991,44.00,549.5,21,0,1730,1,6,4,41,7252,1.00,3,1812
500,74,715,44.00,549.5,21,0,1730,1,6,4,43,7642,1.00,3,1812
510,43,762,44.00,549.5,21,0,1730,1,6,4,46,8162,1.00,3,1833
520,73,1403,46.00,562.2,22,0,1730,1,6,4,48,8422,1.00,3,1837
530,49,807,46.00,562.2,22,0,1730,1,6,4,50,8962,1.00,3,1837
540,65,1429,46.00,562.2,22,0,1730,1,6,4,53,9472,1.00,3,1837
550,0,363,46.00,562.2,22,0,1730,1,6,4,54,9742,0.85,3,1837
560,45,753,46.00,562.2,22,0,1730,1,6,4,57,10412,1.00,3,1837
570,21,161,46.00,562.2,22,0,1730,1,6,4,58,10682,1.00,3,1837
580,35,377,46.00,562.2,22,0,1730,1,6,4,61,11342,1.00,3,1837
590,105,1239,46.00,562.2,22,0,1730,1,6,4,63,11732,1.00,3,1837
600,25,1,46.00,562.2,22,0,1730,1,6,4,65,12272,1.00,3,1837
