t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,42.7,0,0,0,0,0
20,2.00,2.00,56.6,57.6,0,0,0,0,0
30,2.00,2.00,54.3,54.9,0,0,0,0,0
40,2.00,2.00,52.6,53.7,0,0,0,0,0
50,2.00,2.00,54.6,53.1,0,0,0,0,0
60,2.00,2.00,79.3,77.8,0,0,0,0,0
70,2.00,2.00,76.6,77.3,0,0,0,0,0
80,2.00,2.00,73.9,74.0,0,0,54,54,0
90,2.00,2.00,72.4,72.5,0,0,108,108,0
100,2.00,2.00,86.8,84.3,1,1,108,108,0
110,4.00,4.00,104.3,104.6,1,1,108,108,0
120,6.00,6.00,104.7,104.5,2,2,108,108,0
130,6.00,6.00,103.7,103.7,2,2,228,228,0
140,6.00,6.00,122.8,103.9,2,2,228,228,0
150,6.00,6.00,112.7,112.9,2,2,348,348,0
160,6.00,6.00,118.2,117.2,2,2,348,348,0
170,6.00,6.00,122.0,122.5,2,2,348,402,0
180,6.00,6.00,123.6,123.0,2,2,402,402,0
190,6.00,6.00,124.5,124.5,2,2,456,456,0
200,6.00,6.00,124.8,124.9,2,2,456,456,1
210,6.90,6.07,124.9,118.2,2,2,456,456,1
220,7.00,7.00,148.9,131.9,2,2,456,456,1
230,7.00,7.00,148.8,148.9,2,2,456,576,1
240,7.00,7.00,148.9,148.8,2,2,576,576,1
250,7.00,7.00,135.5,137.9,2,2,576,576,1
260,6.70,6.99,126.9,126.0,2,2,576,696,1
270,6.00,6.00,147.3,145.7,2,2,696,750,2
280,6.50,8.00,133.1,135.9,2,3,750,804,3
290,6.70,8.64,124.6,123.4,2,3,750,804,3
300,6.90,8.00,145.9,144.4,3,3,750,804,3
310,8.40,8.77,122.7,132.9,3,3,804,804,7
320,8.10,8.62,108.0,122.4,3,3,804,804,7
330,8.30,8.61,108.0,121.6,3,3,804,804,7
340,8.30,8.57,102.5,123.3,3,3,804,924,10
350,8.40,8.57,109.0,123.8,3,3,804,924,12
360,8.10,8.00,104.5,118.1,3,3,924,1044,12
370,8.20,8.39,94.7,112.0,3,3,924,1098,12
380,6.00,8.00,88.2,102.4,2,3,1044,1098,13
390,6.20,8.00,79.8,95.0,2,3,1044,1152,13
400,6.30,8.33,83.9,102.0,2,3,1098,1152,13
410,6.00,8.25,89.8,100.3,2,3,1098,1152,13
420,7.30,9.56,158.0,184.4,2,3,1152,1152,13
430,7.20,9.20,147.1,172.8,2,3,1152,1152,13
440,7.00,11.05,149.1,162.2,2,4,1152,1272,13
450,8.00,12.00,226.7,256.6,2,4,1152,1272,13
460,6.70,12.43,243.4,259.5,2,5,1152,1392,13
470,8.30,12.00,238.0,251.9,2,5,1152,1446,13
480,8.50,16.39,240.7,254.5,3,6,1272,1500,13
490,10.20,14.31,253.5,264.9,3,6,1272,1500,13
500,9.00,15.89,264.6,280.8,4,6,1392,1500,13
510,11.80,15.86,244.3,267.4,4,6,1446,1500,13
520,14.30,16.59,250.9,269.4,5,7,1500,1620,13
530,12.30,19.82,264.5,288.5,5,7,1500,1740,13
540,12.60,18.01,206.6,243.3,5,7,1500,1740,13
550,13.30,17.32,227.7,239.7,5,7,1500,1794,13
560,14.20,16.00,240.4,253.4,6,7,1620,1848,13
570,17.20,21.42,289.3,297.9,6,9,1740,1848,13
580,14.70,22.00,302.4,322.2,6,9,1794,1848,13
590,14.40,22.09,305.2,328.8,6,9,1794,1848,13
600,14.00,21.74,257.5,281.5,7,9,1848,1848,13
