t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,42.7,0,0,0,0,0
20,2.00,2.00,54.2,54.5,0,0,0,0,0
30,2.00,2.00,65.9,65.6,0,0,0,0,0
40,2.00,2.00,70.0,71.0,0,0,0,0,0
50,2.00,2.00,71.2,69.8,0,0,0,0,0
60,2.00,2.00,90.2,89.0,0,0,0,0,0
70,2.00,2.00,94.9,94.2,0,0,0,0,0
80,4.00,4.00,97.0,97.5,1,1,43,43,0
90,4.00,4.00,90.0,90.4,1,1,86,86,0
100,6.00,6.00,81.6,82.8,2,2,86,86,0
110,6.00,6.00,97.9,103.1,2,2,86,86,0
120,6.00,6.00,124.0,123.2,2,2,196,86,0
130,6.00,6.00,151.5,150.0,2,2,196,196,0
140,6.00,6.00,158.8,175.9,2,2,306,306,0
150,6.00,6.00,158.9,175.8,2,2,349,349,0
160,6.00,6.00,152.9,147.4,2,2,349,349,0
170,6.00,6.00,154.2,154.7,2,2,392,349,0
180,6.00,6.00,147.5,147.8,2,2,392,392,0
190,6.00,6.00,158.1,155.1,2,2,392,392,0
200,6.00,6.00,182.8,168.9,2,2,392,392,0
210,7.00,7.00,182.9,182.8,2,2,392,392,0
220,7.00,9.00,182.7,182.7,2,3,502,392,0
230,7.00,9.00,180.1,181.7,2,3,502,392,0
240,7.00,9.00,155.9,157.5,2,3,502,502,0
250,9.00,9.00,149.9,150.8,3,3,612,612,0
260,8.00,8.00,148.4,147.2,3,3,655,655,0
270,8.00,8.00,168.4,167.0,3,3,655,655,0
280,9.50,10.00,165.6,166.3,3,3,698,655,0
290,9.40,11.05,164.1,183.0,4,4,698,698,0
300,11.60,10.97,201.7,200.5,4,4,698,698,0
310,11.20,10.00,197.6,195.9,4,4,698,698,0
320,10.00,11.04,192.5,192.9,4,4,698,698,0
330,13.00,13.01,197.8,196.6,5,5,808,808,0
340,12.90,12.94,174.4,191.7,5,5,808,808,0
350,12.00,12.00,162.5,161.7,5,5,918,918,0
360,14.20,14.58,177.8,187.3,6,6,961,1004,0
370,15.70,17.25,196.3,206.3,7,7,1004,1004,0
380,17.40,17.30,216.6,217.2,7,7,1004,1004,0
390,17.30,17.24,226.9,227.4,7,7,1004,1004,0
400,16.90,18.00,228.6,239.1,7,7,1114,1114,0
410,18.00,18.00,256.5,268.1,7,7,1114,1114,0
420,18.00,18.00,301.7,299.2,7,7,1224,1224,1
430,18.00,18.00,310.3,325.1,7,7,1267,1267,2
440,18.00,18.00,322.9,333.7,7,7,1310,1310,4
450,14.30,16.55,255.8,273.5,6,7,1310,1310,10
460,16.50,18.38,284.3,298.4,6,7,1310,1310,16
470,16.80,18.99,319.5,358.9,6,7,1420,1310,16
480,15.90,21.28,319.2,363.2,6,8,1420,1420,16
490,15.70,21.37,321.5,376.4,6,8,1530,1530,16
500,15.10,21.34,314.3,373.9,6,8,1616,1573,16
510,16.00,20.32,230.7,278.4,7,8,1702,1616,16
520,16.00,20.04,217.0,258.8,7,8,1702,1616,16
530,16.00,19.38,213.6,256.3,7,8,1702,1616,18
540,13.80,19.91,316.1,344.2,5,8,1812,1659,20
550,10.80,19.79,313.8,352.2,4,8,1922,1812,23
560,11.30,19.39,295.6,334.5,4,8,2142,1922,27
570,8.00,20.55,220.7,255.6,3,9,2314,1965,28
580,8.00,20.67,218.6,254.1,3,9,2314,2008,28
590,9.20,20.45,234.8,261.4,3,9,2400,2118,29
600,11.40,21.30,270.2,295.2,4,9,2400,2228,29
