our_faction,barb_faction,scenario,mix,our_income,margin,sem
Armada,Cortex,base12-out,zeus+fido,350,-0.192,0.005
Armada,Cortex,base12-out,zeus+fido,700,-0.192,0.005
Armada,Cortex,base12-out,zeus+fido,2000,-0.192,0.005
Armada,Cortex,base12-out,t1+zeus+fido,50,-0.193,0.004
Armada,Cortex,base12-out,t1+zeus+fido,150,-0.195,0.003
Armada,Cortex,base12-out,t1+zeus+fido,350,-0.195,0.003
Armada,Cortex,base12-out,t1+zeus+fido,700,-0.195,0.003
Armada,Cortex,base12-out,t1+zeus+fido,2000,-0.195,0.003
Cortex,Armada,field25,t1-line,50,-0.152,0.009
Cortex,Armada,field25,t1-line,150,-0.152,0.009
Cortex,Armada,field25,t1-line,350,-0.152,0.009
Cortex,Armada,field25,t1-line,700,-0.152,0.009
Cortex,Armada,field25,t1-line,2000,-0.152,0.009
Cortex,Armada,field25,t1+can,50,0.559,0.005
Cortex,Armada,field25,t1+can,150,0.58,0.004
Cortex,Armada,field25,t1+can,350,0.58,0.004
Cortex,Armada,field25,t1+can,700,0.58,0.004
Cortex,Armada,field25,t1+can,2000,0.58,0.004
Cortex,Armada,field25,can,50,-0.175,0.002
Cortex,Armada,field25,can,150,0.588,0.003
Cortex,Armada,field25,can,350,0.588,0.003
Cortex,Armada,field25,can,700,0.588,0.003
Cortex,Armada,field25,can,2000,0.588,0.003
Cortex,Armada,field25,t1+sumo,50,0.323,0.009
Cortex,Armada,field25,t1+sumo,150,0.323,0.009
Cortex,Armada,field25,t1+sumo,350,0.323,0.009
Cortex,Armada,field25,t1+sumo,700,0.323,0.009
Cortex,Armada,field25,t1+sumo,2000,0.323,0.009
Cortex,Armada,field25,t1+termite,50,0.077,0.01
Cortex,Armada,field25,t1+termite,150,0.261,0.004
Cortex,Armada,field25,t1+termite,350,0.261,0.004
Cortex,Armada,field25,t1+termite,700,0.261,0.004
Cortex,Armada,field25,t1+termite,2000,0.261,0.004
Cortex,Armada,base12-out,t1-line,50,-0.28,0.007
Cortex,Armada,base12-out,t1-line,150,-0.28,0.007
Cortex,Armada,base12-out,t1-line,350,-0.28,0.007
Cortex,Armada,base12-out,t1-line,700,-0.28,0.007
Cortex,Armada,base12-out,t1-line,2000,-0.28,0.007
Cortex,Armada,base12-out,t1+can,50,0.011,0.025
Cortex,Armada,base12-out,t1+can,150,0.11,0.019
Cortex,Armada,base12-out,t1+can,350,0.11,0.019
Cortex,Armada,base12-out,t1+can,700,0.11,0.019
Cortex,Armada,base12-out,t1+can,2000,0.11,0.019
Cortex,Armada,base12-out,can,50,-0.277,0.001
Cortex,Armada,base12-out,can,150,0.362,0.003
Cortex,Armada,base12-out,can,350,0.362,0.003
Cortex,Armada,base12-out,can,700,0.362,0.003
Cortex,Armada,base12-out,can,2000,0.362,0.003
Cortex,Armada,base12-out,t1+sumo,50,0.36,0.002
Cortex,Armada,base12-out,t1+sumo,150,0.36,0.002
Cortex,Armada,base12-out,t1+sumo,350,0.36,0.002
Cortex,Armada,base12-out,t1+sumo,700,0.36,0.002
Cortex,Armada,base12-out,t1+sumo,2000,0.36,0.002
Cortex,Armada,base12-out,t1+termite,50,-0.235,0.002
Cortex,Armada,base12-out,t1+termite,150,-0.198,0.003
Cortex,Armada,base12-out,t1+termite,350,-0.198,0.003
Cortex,Armada,base12-out,t1+termite,700,-0.198,0.003
Cortex,Armada,base12-out,t1+termite,2000,-0.198,0.003
Cortex,Cortex,field25,t1-line,50,0.17,0.018
Cortex,Cortex,field25,t1-line,150,0.17,0.018
Cortex,Cortex,field25,t1-line,350,0.17,0.018
Cortex,Cortex,field25,t1-line,700,0.17,0.018
Cortex,Cortex,field25,t1-line,2000,0.17,0.018
Cortex,Cortex,field25,t1+can,50,0.504,0.004
Cortex,Cortex,field25,t1+can,150,0.522,0.005
Cortex,Cortex,field25,t1+can,350,0.522,0.005
Cortex,Cortex,field25,t1+can,700,0.522,0.005
Cortex,Cortex,field25,t1+can,2000,0.522,0.005
Cortex,Cortex,field25,can,50,-0.228,0.001
Cortex,Cortex,field25,can,150,0.542,0.003
Cortex,Cortex,field25,can,350,0.588,0.003
Cortex,Cortex,field25,can,700,0.588,0.003
Cortex,Cortex,field25,can,2000,0.588,0.003
Cortex,Cortex,field25,t1+sumo,50,0.395,0.007
Cortex,Cortex,field25,t1+sumo,150,0.395,0.007
Cortex,Cortex,field25,t1+sumo,350,0.395,0.007
Cortex,Cortex,field25,t1+sumo,700,0.395,0.007
Cortex,Cortex,field25,t1+sumo,2000,0.395,0.007
Cortex,Cortex,field25,t1+termite,50,0.248,0.002
Cortex,Cortex,field25,t1+termite,150,0.34,0.005
Cortex,Cortex,field25,t1+termite,350,0.34,0.005
Cortex,Cortex,field25,t1+termite,700,0.34,0.005
Cortex,Cortex,field25,t1+termite,2000,0.34,0.005
Cortex,Cortex,base12-out,t1-line,50,-0.216,0.003
Cortex,Cortex,base12-out,t1-line,150,-0.216,0.003
Cortex,Cortex,base12-out,t1-line,350,-0.216,0.003
Cortex,Cortex,base12-out,t1-line,700,-0.216,0.003
Cortex,Cortex,base12-out,t1-line,2000,-0.216,0.003
Cortex,Cortex,base12-out,t1+can,50,-0.134,0.004
Cortex,Cortex,base12-out,t1+can,150,-0.129,0.007
Cortex,Cortex,base12-out,t1+can,350,-0.129,0.007
Cortex,Cortex,base12-out,t1+can,700,-0.129,0.007
Cortex,Cortex,base12-out,t1+can,2000,-0.129,0.007
Cortex,Cortex,base12-out,can,50,-0.427,0.001
Cortex,Cortex,base12-out,can,150,0.253,0.004
Cortex,Cortex,base12-out,can,350,0.281,0.004
Cortex,Cortex,base12-out,can,700,0.281,0.004
Cortex,Cortex,base12-out,can,2000,0.281,0.004
Cortex,Cortex,base12-out,t1+sumo,50,0.37,0.0
Cortex,Cortex,base12-out,t1+sumo,150,0.37,0.0
Cortex,Cortex,base12-out,t1+sumo,350,0.37,0.0
Cortex,Cortex,base12-out,t1+sumo,700,0.37,0.0
Cortex,Cortex,base12-out,t1+sumo,2000,0.37,0.0
Cortex,Cortex,base12-out,t1+termite,50,-0.25,0.001
Cortex,Cortex,base12-out,t1+termite,150,-0.2,0.004
Cortex,Cortex,base12-out,t1+termite,350,-0.196,0.003
Cortex,Cortex,base12-out,t1+termite,700,-0.196,0.003
Cortex,Cortex,base12-out,t1+termite,2000,-0.196,0.003
