t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,30.0,0,0,0,0,0
20,4.00,4.00,30.0,30.0,1,1,0,0,0
30,4.00,4.00,39.5,39.3,1,1,0,0,0
40,4.00,4.00,64.3,53.2,1,1,0,0,0
50,4.00,4.00,79.5,80.4,1,1,0,0,0
60,4.00,4.00,74.5,74.4,1,1,0,0,0
70,4.00,4.00,78.8,78.0,1,1,0,0,0
80,4.00,4.00,81.0,81.9,1,1,0,0,0
90,6.00,4.00,69.9,70.5,2,1,43,43,0
100,6.00,6.00,97.1,94.0,2,2,86,86,0
110,6.00,6.00,129.4,129.6,2,2,86,86,0
120,6.00,6.00,151.3,133.8,2,2,86,86,0
130,6.00,6.00,156.1,156.4,2,2,86,86,0
140,6.00,6.00,155.6,155.4,2,2,196,196,0
150,6.00,6.00,158.8,158.6,2,2,306,306,0
160,6.00,6.00,153.0,153.9,2,2,349,349,0
170,6.00,6.39,149.8,149.7,2,2,392,392,0
180,8.00,6.78,166.6,157.2,3,2,392,392,0
190,8.60,6.00,144.4,149.9,3,2,392,392,0
200,8.00,6.87,128.1,128.5,3,2,392,392,0
210,8.50,8.37,121.9,122.3,3,3,392,392,0
220,10.50,8.83,143.1,139.1,4,3,502,502,0
230,10.90,8.87,162.6,161.9,4,3,502,502,0
240,10.60,9.00,178.5,177.2,4,3,612,502,0
250,10.60,9.00,161.2,164.5,4,3,655,502,0
260,10.20,8.57,145.9,146.9,4,3,655,612,0
270,14.30,10.42,134.5,134.9,6,4,698,612,0
280,14.30,12.05,113.8,116.7,6,5,698,655,0
290,14.40,12.00,122.1,108.8,6,5,698,698,0
300,14.30,12.86,182.7,171.9,6,5,698,698,0
310,14.40,12.37,168.9,174.8,6,5,808,698,0
320,14.00,14.17,147.5,149.4,7,6,918,808,0
330,16.00,16.00,147.4,146.1,7,7,961,808,0
340,16.00,17.00,209.2,199.0,7,7,1004,918,1
350,17.00,17.00,267.3,270.7,7,7,1004,961,1
360,16.80,16.00,226.6,222.2,7,7,1004,1004,1
370,17.50,19.72,247.0,242.3,7,8,1004,1004,2
380,14.00,19.75,212.0,211.5,6,8,1114,1004,3
390,14.00,18.00,235.0,232.5,6,8,1224,1004,3
400,17.10,19.57,258.2,253.8,7,8,1267,1114,3
410,18.80,20.14,293.7,295.9,7,8,1310,1224,3
420,17.50,19.31,258.0,260.3,7,8,1310,1267,3
430,15.30,18.35,261.9,255.0,6,8,1310,1310,4
440,15.80,18.53,264.5,255.7,6,8,1310,1310,4
450,15.10,21.81,308.7,297.8,6,10,1463,1353,4
460,15.60,23.23,326.5,323.8,6,10,1616,1396,4
470,16.00,24.00,329.6,336.2,7,11,1659,1506,4
480,16.00,26.00,204.4,213.9,7,12,1702,1616,4
490,16.00,26.00,137.0,142.4,7,12,1702,1659,4
500,11.00,26.00,147.8,145.8,8,12,1812,1659,5
510,14.00,26.00,228.0,230.6,8,12,1812,1812,6
520,16.00,26.00,223.1,243.1,7,12,2032,1922,7
530,18.00,26.00,248.4,274.4,7,12,2032,1965,13
540,17.20,26.00,317.0,331.8,7,12,2142,2051,20
550,17.00,26.00,263.3,293.8,7,12,2185,2204,22
560,16.20,28.00,192.0,214.8,7,13,2228,2314,23
570,16.00,28.56,157.0,197.0,7,13,2314,2357,25
580,18.00,28.76,163.9,197.0,8,13,2314,2400,25
590,21.10,31.19,239.7,285.1,9,13,2357,2540,30
600,20.00,31.17,188.3,212.1,9,14,2497,2540,31
