t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,42.7,0,0,0,0,0
20,2.00,2.00,37.7,36.9,0,0,0,0,0
30,2.00,2.00,57.3,56.5,0,0,0,0,0
40,2.00,2.00,85.1,82.1,0,0,0,0,0
50,2.00,2.00,96.4,96.9,0,0,0,0,0
60,2.00,2.00,90.4,90.8,0,0,0,0,0
70,2.00,2.00,92.4,91.9,0,0,0,0,0
80,2.00,2.00,95.0,95.0,0,0,54,54,0
90,2.00,2.00,97.8,97.5,0,0,108,108,0
100,4.00,2.00,85.1,87.2,1,1,108,108,0
110,4.00,4.00,84.5,84.5,1,1,108,108,0
120,6.00,6.00,89.7,89.1,2,2,228,108,0
130,6.00,6.00,89.9,92.2,2,2,228,228,0
140,6.00,6.00,84.7,86.5,2,2,228,228,0
150,6.00,6.00,67.9,68.3,2,2,348,228,0
160,6.00,6.00,98.5,93.1,2,2,348,228,0
170,6.00,6.00,143.8,142.8,2,2,348,348,1
180,6.00,8.00,158.2,157.3,2,3,402,348,1
190,6.00,8.00,158.7,158.7,2,3,456,402,1
200,6.00,8.00,159.0,159.0,2,3,456,456,1
210,6.00,8.00,159.0,159.0,2,3,456,456,1
220,6.00,8.24,156.0,154.3,2,3,456,456,1
230,9.00,8.92,146.5,147.7,3,3,456,456,1
240,8.70,8.71,129.1,130.2,3,3,456,456,1
250,8.20,10.00,136.2,134.7,3,4,576,576,1
260,8.80,10.61,142.6,142.9,3,4,576,576,1
270,8.80,10.27,140.5,140.4,3,4,576,696,1
280,8.50,11.56,132.5,133.6,3,5,696,750,1
290,8.50,12.00,130.8,131.0,3,5,696,750,1
300,12.90,13.28,127.4,127.6,5,6,750,804,1
310,12.00,14.00,144.4,141.1,5,6,804,804,1
320,12.70,15.00,160.4,183.2,5,6,804,804,1
330,13.00,16.00,218.9,225.3,5,7,804,804,1
340,14.00,16.94,189.5,206.4,6,7,804,924,3
350,14.00,17.09,190.0,224.0,6,7,924,1044,4
360,16.80,18.00,207.0,224.0,7,8,924,1098,4
370,16.00,18.65,223.8,223.8,7,8,1044,1098,4
380,17.70,18.98,222.1,240.1,7,8,1098,1152,4
390,17.70,20.60,235.4,250.8,7,9,1152,1152,4
400,17.40,20.37,234.1,260.0,7,9,1152,1152,4
410,17.90,21.96,225.7,231.1,7,9,1152,1272,6
420,19.50,20.95,191.5,201.0,7,9,1152,1272,7
430,16.00,21.32,186.3,201.2,7,9,1272,1392,8
440,18.30,20.81,199.7,222.6,8,9,1392,1446,10
450,19.20,20.58,152.4,159.6,8,9,1446,1500,10
460,18.00,20.00,147.3,153.9,8,9,1500,1500,12
470,18.00,20.00,154.2,165.5,8,9,1500,1554,13
480,18.00,20.00,150.5,175.7,8,9,1554,1608,16
490,12.00,20.00,110.1,145.1,7,9,1554,1728,20
500,13.00,20.00,129.4,191.2,6,9,1728,1728,22
510,11.00,20.00,106.0,180.0,6,9,1728,1848,24
520,14.00,20.00,165.1,214.3,6,9,1848,2022,24
530,10.00,21.15,238.9,280.8,4,9,1902,2196,27
540,8.00,20.80,240.9,256.5,3,9,1956,2250,28
550,9.60,23.75,269.5,306.2,3,10,2076,2250,28
560,9.90,24.72,312.3,364.5,3,10,2196,2304,28
570,11.60,25.47,378.6,417.3,3,10,2196,2424,28
580,12.00,26.00,387.1,432.1,3,10,2250,2544,28
590,12.00,26.00,409.3,457.8,3,10,2250,2544,28
600,14.00,26.00,408.8,456.1,4,10,2424,2544,28
