t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,762,770,2.00,30.0,0,0,300,0,0,0,0,0,1.00,3,45
20,535,570,2.00,30.0,0,0,450,1,0,0,0,0,1.00,3,45
30,352,195,2.00,50.0,0,0,450,1,0,0,0,0,1.00,3,45
40,169,9,2.00,60.0,0,0,450,1,0,0,0,0,1.00,3,45
50,124,0,2.00,77.0,0,0,530,1,1,0,0,0,0.60,3,45
60,108,0,4.00,77.0,1,0,530,1,1,0,0,0,0.81,3,45
70,92,0,4.00,77.0,1,0,530,1,1,0,0,0,0.81,3,45
80,64,0,4.00,84.0,1,0,610,1,2,0,0,0,0.77,3,45
90,100,480,8.00,84.0,3,0,610,1,2,0,0,0,1.00,3,45
100,130,730,8.00,84.0,4,0,610,1,2,0,0,0,1.00,3,45
110,230,1300,10.00,84.0,4,0,610,1,2,0,0,0,1.00,3,195
120,318,1283,10.00,84.0,4,0,610,1,2,0,0,0,1.00,3,812
130,359,1300,12.00,84.0,5,0,610,1,2,0,0,0,1.00,3,821
140,461,1300,14.00,84.0,6,0,610,1,2,0,0,0,1.00,3,1308
150,535,1124,16.00,84.0,7,0,610,1,2,0,0,0,1.00,3,1451
160,673,1300,16.00,84.0,7,0,610,1,2,0,0,0,1.00,3,1682
170,815,1242,18.00,84.0,8,0,610,1,2,0,0,0,1.00,3,2056
180,908,1300,20.00,84.0,9,0,610,1,2,0,0,0,1.00,3,2098
