t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,966,1000,2.00,42.7,0,0,300,0,0,0,0,0,1.00,3,113
20,822,994,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
30,542,978,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
40,436,825,2.00,55.4,0,0,450,1,0,0,0,0,1.00,3,241
50,356,331,2.00,68.1,0,0,450,1,0,0,0,0,1.00,3,241
60,272,300,4.00,75.1,1,0,530,1,1,0,0,0,1.00,3,241
70,161,236,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,241
80,131,239,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,241
90,127,476,6.00,102.1,2,0,610,1,2,0,0,0,1.00,3,241
100,77,144,8.00,102.1,3,0,610,1,2,0,0,0,1.00,3,241
110,72,193,8.00,121.8,3,0,690,1,3,0,0,0,1.00,3,241
120,78,234,10.00,121.8,4,0,690,1,3,0,0,0,1.00,3,241
130,92,407,10.00,128.8,4,0,770,1,4,0,0,0,1.00,3,241
140,31,169,14.00,141.5,6,0,770,1,4,0,0,0,1.00,3,241
150,75,709,14.00,141.5,6,0,770,1,4,0,0,0,1.00,3,241
160,82,950,14.00,148.5,6,0,850,1,5,0,0,0,1.00,3,241
170,104,1297,16.00,168.5,7,0,850,1,5,0,0,0,1.00,3,241
180,137,1502,16.00,175.5,7,0,930,1,6,0,0,0,1.00,3,656
190,77,1285,20.00,175.5,9,0,930,1,6,0,1,54,1.00,3,681
200,40,1211,20.00,195.5,9,0,930,1,6,0,1,54,1.00,3,681
210,98,1595,24.00,218.2,11,0,930,1,6,0,1,54,1.00,3,745
220,142,1591,26.00,228.2,12,0,930,1,6,0,2,324,1.00,3,824
230,148,1603,26.00,228.2,12,0,930,1,6,0,2,324,1.00,3,980
240,65,1240,26.00,240.9,12,0,930,1,6,0,3,454,1.00,3,1139
250,59,1650,30.00,260.9,14,0,930,1,6,0,4,584,1.00,3,1139
260,52,1654,32.00,273.6,15,0,930,1,6,0,4,584,1.00,3,1281
270,95,1704,32.00,293.6,15,0,930,1,6,0,5,714,1.00,3,1757
280,149,1687,32.00,306.3,15,0,1130,1,6,1,5,714,1.00,3,2256
290,151,1743,34.00,306.3,16,0,1280,2,6,1,6,984,1.00,3,2389
300,92,1477,34.00,306.3,16,0,1280,2,6,1,7,1104,1.00,3,2458
310,37,810,34.00,351.7,16,0,1280,2,6,1,9,1364,1.00,3,2458
320,35,392,36.00,351.7,17,0,1280,2,6,1,11,1688,1.00,3,2458
330,16,139,36.00,371.7,17,0,1280,2,6,1,12,1958,1.00,3,2458
340,6,188,36.00,384.4,17,0,1280,2,6,1,13,2088,1.00,3,2458
350,8,505,38.00,384.4,18,0,1280,2,6,1,16,2618,1.00,3,2458
360,2,100,39.00,417.1,19,0,1280,2,6,1,16,2618,1.00,3,2458
370,73,359,40.00,442.5,19,0,1280,2,6,1,17,2888,1.00,3,2458
380,127,634,40.00,455.2,19,0,1280,2,6,1,19,3428,1.00,3,2458
390,152,884,40.00,467.9,19,0,1280,2,6,1,20,3548,1.00,3,2458
400,187,999,40.00,493.3,19,0,1280,2,6,1,21,3818,1.00,3,2458
410,228,1245,40.00,493.3,19,0,1280,2,6,1,23,4358,1.00,3,2458
420,270,1626,40.00,493.3,19,0,1280,2,6,1,24,4478,1.00,3,2458
430,284,1724,40.00,493.3,19,0,1280,2,6,1,25,4748,1.00,3,2458
440,257,1225,40.00,506.0,19,0,1480,2,6,2,26,4878,1.00,3,2460
450,215,573,42.00,506.0,20,0,1480,2,6,2,28,5418,1.00,3,2460
460,228,613,42.00,506.0,20,0,1480,2,6,2,30,5958,1.00,3,2460
470,188,328,42.00,518.7,20,0,1480,2,6,2,32,6348,1.00,3,2460
480,179,537,42.00,531.4,20,0,1680,2,6,3,34,6748,1.00,3,2460
490,123,405,42.00,544.1,20,0,1680,2,6,3,36,7138,1.00,3,2460
500,110,554,42.00,556.8,20,0,1680,2,6,3,38,7312,1.00,3,2460
510,81,893,44.00,556.8,21,0,1680,2,6,3,41,7972,1.00,3,2460
520,67,1249,46.00,556.8,22,0,1680,2,6,3,43,8222,1.00,3,2460
530,92,1466,46.00,556.8,22,0,1680,2,6,3,46,8742,1.00,3,2460
540,41,507,46.00,556.8,22,0,1680,2,6,3,47,9012,1.00,3,2460
550,23,592,46.00,563.1,22,0,1680,2,6,3,49,9402,1.00,3,2460
560,100,1124,46.00,569.5,22,0,1680,2,6,3,52,9996,1.00,3,2460
570,133,1455,46.00,569.5,22,0,1680,2,6,3,55,10656,1.00,3,2460
580,62,410,46.00,569.5,22,0,1680,2,6,3,57,11056,1.00,3,2460
590,31,461,46.00,569.5,22,0,1680,2,6,3,60,11350,1.00,3,2460
600,23,126,46.00,569.5,22,0,1680,2,6,3,63,12160,0.95,3,2460
