t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,966,1000,2.00,42.7,0,0,300,0,0,0,0,0,1.00,3,113
20,822,994,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
30,542,978,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
40,394,956,2.00,55.4,0,0,450,1,0,0,0,0,1.00,3,241
50,271,789,2.00,75.4,0,0,450,1,0,0,0,0,1.00,3,241
60,217,534,4.00,82.4,1,0,530,1,1,0,0,0,1.00,3,241
70,154,348,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,241
80,124,351,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,241
90,115,476,6.00,102.1,2,0,610,1,2,0,0,0,1.00,3,241
100,66,60,7.00,105.6,3,0,690,1,3,0,0,0,1.00,3,241
110,85,178,8.00,109.1,3,0,690,1,3,0,0,0,1.00,3,241
120,70,11,10.00,109.1,4,0,690,1,3,0,0,0,1.00,3,241
130,99,170,10.00,116.1,4,0,770,1,4,0,0,0,1.00,3,241
140,95,57,11.00,116.1,5,0,770,1,4,0,0,0,1.00,3,241
150,142,213,14.00,135.8,6,0,850,1,5,0,0,0,1.00,3,241
160,169,460,14.00,135.8,6,0,850,1,5,0,0,0,1.00,3,241
170,108,0,14.00,135.8,6,0,850,1,5,0,0,0,0.83,3,241
180,130,160,18.00,155.5,8,0,930,1,6,0,0,0,1.00,3,241
190,115,489,20.00,175.5,9,0,930,1,6,0,1,54,1.00,3,241
200,101,645,20.00,175.5,9,0,930,1,6,0,1,54,1.00,3,241
210,62,395,22.00,175.5,10,0,930,1,6,0,1,54,1.00,3,241
220,153,842,22.00,215.5,10,0,930,1,6,0,2,324,1.00,3,241
230,168,930,22.00,228.2,10,0,930,1,6,0,3,454,1.00,3,241
240,175,925,22.00,240.9,10,0,930,1,6,0,3,454,1.00,3,241
250,226,1141,24.00,253.6,11,0,930,1,6,0,3,454,1.00,3,241
260,228,1564,24.00,266.3,11,0,930,1,6,0,4,724,1.00,3,241
270,173,1350,26.00,286.3,12,0,1130,1,6,1,4,724,1.00,3,241
280,138,720,26.00,299.0,12,0,1130,1,6,1,5,994,1.00,3,241
290,53,0,28.00,311.7,13,0,1130,1,6,1,5,994,0.78,3,241
300,64,521,30.00,311.7,15,0,1130,1,6,1,7,1384,1.00,3,241
310,80,739,32.00,324.4,15,0,1130,1,6,1,8,1514,1.00,3,241
320,163,1084,32.00,344.4,15,0,1130,1,6,1,9,1644,1.00,3,241
330,222,1034,32.00,344.4,15,0,1330,1,6,2,10,1914,1.00,3,241
340,120,923,32.00,344.4,15,0,1330,1,6,2,12,2304,1.00,3,241
350,116,1623,32.00,364.4,15,0,1330,1,6,2,14,2544,1.00,3,241
360,106,959,34.00,364.4,16,0,1330,1,6,2,15,2814,1.00,3,383
370,77,318,36.00,364.4,17,0,1330,1,6,2,16,2944,1.00,3,383
380,2,261,38.00,399.8,18,0,1330,1,6,2,17,3214,1.00,3,383
390,109,969,38.00,409.8,18,0,1330,1,6,2,19,3614,1.00,3,383
400,83,1362,38.00,409.8,18,0,1330,1,6,2,22,3984,1.00,3,383
410,0,1019,40.00,409.8,19,0,1330,1,6,2,24,4224,0.59,3,383
420,9,884,40.00,422.5,19,0,1330,1,6,2,25,4494,1.00,3,383
430,38,576,44.00,442.5,21,0,1330,1,6,2,27,4754,1.00,3,383
440,145,1124,46.00,442.5,22,0,1330,1,6,2,30,5274,1.00,3,383
450,127,368,46.00,442.5,22,0,1330,1,6,2,31,5544,1.00,3,383
460,215,1154,46.00,442.5,22,0,1330,1,6,2,33,5944,1.00,3,383
470,176,549,46.00,462.5,22,0,1330,1,6,2,35,6344,1.00,3,383
480,166,214,46.00,482.5,22,0,1330,1,6,2,37,6744,1.00,3,383
