our_faction,barb_faction,budget,spacing,scenario,mix,margin,sd,sem,wins_of
Armada,Armada,3000,160,field25,mav,-0.34,0.05,0.01,0/24
Armada,Armada,3000,160,field25,fido,-0.337,0.092,0.019,0/24
Armada,Armada,3000,160,field25,sptk,-0.136,0.098,0.02,2/24
Armada,Armada,3000,160,field25,snipe,-0.88,0.0,0.0,0/24
Armada,Armada,3000,160,field25,fboy,0.582,0.037,0.008,24/24
Armada,Armada,3000,160,field25,fast,-0.299,0.115,0.023,1/24
Armada,Armada,3000,160,field25,amph,0.21,0.079,0.016,24/24
Armada,Armada,3000,160,field25,t1+zeus,0.546,0.007,0.001,24/24
Armada,Armada,3000,160,field25,t1+mav,-0.291,0.055,0.011,0/24
Armada,Armada,3000,160,field25,t1+fido,0.322,0.104,0.021,24/24
Armada,Armada,3000,160,field25,t1+sptk,0.374,0.112,0.023,24/24
Armada,Armada,3000,160,field25,t1+snipe,-0.203,0.1,0.02,0/24
Armada,Armada,3000,160,field25,t1+fboy,0.354,0.114,0.023,24/24
Armada,Armada,3000,160,field25,zeus+fido,0.555,0.015,0.003,24/24
Armada,Armada,3000,160,field25,zeus+sptk,0.502,0.054,0.011,24/24
Armada,Armada,3000,160,field25,zeus+snipe,0.646,0.018,0.004,24/24
Armada,Armada,3000,160,field25,mace+zeus,0.572,0.039,0.008,24/24
Armada,Armada,3000,160,field25,t1+zeus+fido,0.565,0.037,0.007,24/24
Armada,Armada,3000,160,field25,t1+zeus(25),0.403,0.048,0.01,24/24
Armada,Armada,3000,160,field25,t1+zeus(75),0.557,0.021,0.004,24/24
Armada,Armada,3000,56,t1only,t1-line,0.114,0.053,0.011,24/24
Armada,Armada,3000,56,t1only,t1-mace,0.079,0.037,0.008,23/24
Armada,Armada,3000,56,t1only,zeus,0.066,0.016,0.003,24/24
Armada,Armada,3000,56,t1only,mav,-0.566,0.029,0.006,0/24
Armada,Armada,3000,56,t1only,fido,0.206,0.031,0.006,24/24
Armada,Armada,3000,56,t1only,sptk,-0.166,0.228,0.047,5/24
Armada,Armada,3000,56,t1only,snipe,-0.99,0.0,0.0,0/24
Armada,Armada,3000,56,t1only,fboy,0.365,0.21,0.043,24/24
Armada,Armada,3000,56,t1only,fast,-0.407,0.046,0.009,0/24
Armada,Armada,3000,56,t1only,amph,-0.45,0.035,0.007,0/24
Armada,Armada,3000,56,t1only,t1+zeus,0.293,0.056,0.011,24/24
Armada,Armada,3000,56,t1only,t1+mav,-0.062,0.12,0.025,3/24
Armada,Armada,3000,56,t1only,t1+fido,0.38,0.172,0.035,24/24
Armada,Armada,3000,56,t1only,t1+sptk,0.171,0.278,0.057,17/24
Armada,Armada,3000,56,t1only,t1+snipe,-0.269,0.119,0.024,0/24
Armada,Armada,3000,56,t1only,t1+fboy,0.388,0.243,0.05,22/24
Armada,Armada,3000,56,t1only,zeus+fido,0.494,0.038,0.008,24/24
Armada,Armada,3000,56,t1only,zeus+sptk,0.49,0.153,0.031,23/24
Armada,Armada,3000,56,t1only,zeus+snipe,-0.266,0.033,0.007,0/24
Armada,Armada,3000,56,t1only,mace+zeus,0.398,0.039,0.008,24/24
Armada,Armada,3000,56,t1only,t1+zeus+fido,0.352,0.08,0.016,24/24
Armada,Armada,3000,56,t1only,t1+zeus(25),0.051,0.149,0.03,13/24
