t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,30.0,0,0,0,0,0
20,4.00,4.00,30.0,30.0,1,1,0,0,0
30,4.00,4.00,35.6,35.3,1,1,0,0,0
40,4.00,4.00,60.4,58.1,1,1,0,0,0
50,4.00,4.00,80.7,81.6,1,1,0,0,0
60,4.00,4.00,72.4,72.7,1,1,0,0,0
70,4.00,4.00,75.7,75.0,1,1,0,0,0
80,4.00,4.00,79.3,79.2,1,1,0,0,0
90,5.00,6.00,83.1,82.8,2,2,54,54,0
100,6.00,6.00,64.6,67.8,2,2,108,108,0
110,4.00,6.00,54.5,52.9,2,2,108,108,0
120,6.00,6.00,77.8,76.4,2,2,108,108,0
130,6.00,6.00,94.8,85.8,2,2,108,108,0
140,6.00,6.00,121.5,103.3,2,2,108,108,0
150,6.00,6.00,106.3,108.1,2,2,228,228,0
160,6.00,6.00,92.7,93.1,2,2,348,348,0
170,6.00,6.00,82.3,80.6,2,2,402,348,0
180,2.00,6.00,115.9,113.6,2,2,402,402,0
190,6.00,6.00,98.0,100.5,2,2,456,456,0
200,6.00,6.00,98.8,97.5,2,2,456,456,0
210,6.00,6.00,118.7,117.4,2,2,456,456,0
220,6.00,6.00,141.0,137.1,2,2,456,456,1
230,6.00,6.00,178.8,185.9,2,2,456,456,1
240,6.00,8.00,185.9,185.8,2,3,456,456,1
250,7.00,9.00,184.2,184.2,2,3,576,576,1
260,7.60,8.14,182.2,184.3,2,3,576,576,1
270,7.20,8.70,151.0,152.8,2,4,696,696,1
280,6.90,11.01,168.4,164.8,2,4,696,750,1
290,9.10,10.27,185.0,185.5,3,4,750,804,2
300,8.10,10.26,185.2,184.6,3,4,750,804,4
310,9.30,10.28,186.0,186.0,3,4,804,804,4
320,9.20,11.51,184.1,192.2,3,4,804,804,4
330,8.80,10.53,165.3,173.7,3,4,804,924,4
340,11.00,10.00,174.7,194.2,4,4,804,1044,4
350,11.00,10.00,189.9,208.5,4,4,804,1044,5
360,10.00,10.63,161.2,170.9,4,4,924,1098,9
370,10.00,10.52,131.0,150.8,4,4,1044,1152,9
380,10.00,10.00,105.0,118.0,4,4,1098,1152,9
390,10.00,10.47,120.4,141.5,4,4,1098,1152,10
400,10.00,12.80,127.3,157.3,4,5,1152,1152,11
410,8.00,12.47,145.7,172.6,3,5,1152,1272,13
420,8.90,12.77,185.2,206.0,3,5,1152,1392,15
430,9.20,14.01,155.1,189.0,3,5,1152,1446,16
440,8.80,12.16,138.5,157.8,3,5,1272,1446,16
450,9.60,13.60,199.1,218.5,3,5,1272,1500,16
460,10.60,15.80,178.9,213.3,4,6,1392,1500,16
470,10.80,14.00,176.2,190.7,4,6,1446,1500,16
480,12.40,17.30,312.5,323.6,4,6,1446,1620,16
490,15.00,15.09,327.1,346.8,5,6,1500,1620,16
500,14.20,17.90,338.9,360.0,5,7,1500,1740,16
510,15.30,17.46,345.9,359.9,5,7,1500,1794,16
520,13.60,21.40,344.6,358.7,5,8,1620,1848,16
530,15.30,22.04,343.2,376.0,6,8,1620,1848,16
540,14.00,19.58,305.5,336.9,6,8,1740,1848,18
550,14.00,21.65,315.4,354.1,5,8,1794,1848,21
560,17.50,22.07,353.9,383.3,6,8,1848,1968,22
570,16.90,21.93,346.3,373.3,6,8,1848,1968,22
580,14.30,22.36,301.2,329.1,5,8,1848,2088,23
590,13.90,21.55,253.8,272.7,5,8,1848,2088,23
600,14.40,22.25,304.7,321.3,5,8,1968,2088,23
