t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,42.7,0,0,0,0,0
20,2.00,2.00,54.9,54.6,0,0,0,0,0
30,2.00,2.00,74.5,74.1,0,0,0,0,0
40,2.00,2.00,84.1,84.5,0,0,0,0,0
50,2.00,2.00,85.5,84.8,0,0,0,0,0
60,2.00,2.00,97.4,96.6,0,0,0,0,0
70,2.00,2.00,87.5,89.3,0,0,0,0,0
80,4.00,4.00,79.8,80.0,1,1,43,43,0
90,4.00,4.00,76.3,76.5,1,1,86,86,0
100,6.00,6.00,60.4,63.1,2,2,86,86,0
110,4.00,6.00,71.7,50.2,2,2,86,86,0
120,6.00,6.00,105.0,83.3,2,2,86,86,0
130,6.00,6.00,121.8,122.6,2,2,86,196,0
140,6.00,6.00,121.0,119.6,2,2,196,196,0
150,6.00,6.00,143.8,142.3,2,2,196,196,0
160,6.00,6.00,164.3,144.3,2,2,196,196,0
170,6.00,6.00,163.9,144.5,2,2,306,196,0
180,6.00,6.00,155.9,156.4,2,2,306,306,0
190,6.00,6.00,160.7,159.7,2,2,349,349,0
200,6.00,6.00,164.4,164.7,2,2,349,349,0
210,6.00,6.00,164.7,164.4,2,2,392,392,0
220,6.00,6.00,158.9,160.0,2,2,392,392,0
230,6.00,9.00,154.4,154.0,2,3,392,392,0
240,9.00,8.00,171.2,166.9,3,3,392,392,0
250,9.00,9.00,170.5,170.5,3,3,392,392,0
260,9.00,9.00,171.5,171.8,3,3,502,502,0
270,9.00,9.00,171.7,171.4,3,3,502,612,0
280,9.00,8.00,170.8,170.8,3,3,612,655,0
290,10.00,10.00,172.0,189.0,4,4,655,698,0
300,10.80,11.15,189.0,189.0,4,4,698,698,0
310,11.50,12.55,188.8,188.8,4,5,698,698,0
320,11.30,12.50,195.6,195.8,4,5,698,698,0
330,10.00,13.41,195.7,195.4,4,6,808,808,0
340,11.00,14.52,182.6,184.4,4,6,808,808,0
350,12.40,14.89,177.3,178.9,5,6,918,918,0
360,14.00,14.07,150.8,152.5,6,6,961,961,0
370,14.70,14.02,139.5,147.2,6,6,1004,1004,0
380,14.10,14.00,130.6,139.8,6,6,1004,1004,0
390,15.20,17.86,177.7,200.8,6,7,1004,1004,0
400,14.40,16.87,160.4,170.8,6,7,1004,1004,0
410,12.60,16.00,179.4,184.4,5,7,1114,1114,2
420,16.60,17.12,220.6,237.1,6,7,1224,1224,10
430,14.70,17.78,248.3,267.9,6,7,1267,1267,11
440,14.00,18.84,261.6,303.9,6,7,1310,1310,12
450,15.50,16.17,240.3,270.5,6,7,1310,1310,14
460,15.80,18.48,234.6,268.5,6,7,1310,1310,18
470,14.20,18.21,262.5,282.2,6,7,1310,1310,22
480,14.40,17.67,288.5,307.5,5,7,1420,1420,24
490,12.30,18.34,281.5,309.6,4,7,1530,1530,26
500,9.70,18.50,283.9,312.0,3,7,1573,1573,28
510,8.90,17.97,283.9,311.9,3,7,1616,1659,30
520,10.80,16.00,265.1,296.8,3,7,1616,1702,31
530,10.30,16.11,246.6,274.8,3,7,1616,1702,31
540,10.10,16.80,263.1,313.8,3,7,1616,1745,31
550,9.70,17.78,265.3,330.9,3,7,1659,1898,31
560,8.60,17.77,266.7,330.1,3,7,1659,1898,31
570,10.00,21.67,288.6,355.0,3,8,1812,2008,31
580,10.10,22.72,277.1,354.0,3,8,1855,2008,31
590,10.20,22.40,275.4,331.8,3,8,1855,2008,31
600,10.60,22.75,318.7,356.4,4,8,2008,2008,33
