t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,30.0,0,0,0,0,0
20,4.00,4.00,30.0,30.0,1,1,0,0,0
30,4.00,4.00,37.2,37.2,1,1,0,0,0
40,4.00,4.00,43.3,44.1,1,1,0,0,0
50,4.00,4.00,51.0,49.7,1,1,0,0,0
60,4.00,4.00,78.1,76.5,1,1,0,0,0
70,4.00,4.00,90.2,88.3,1,1,0,0,0
80,4.00,4.00,95.6,96.8,1,1,0,0,0
90,5.00,6.00,81.4,82.1,2,2,54,54,0
100,6.00,6.00,89.5,87.8,2,2,108,108,0
110,6.00,6.00,97.9,97.9,2,2,108,108,0
120,6.00,6.00,98.0,97.9,2,2,108,108,0
130,6.00,6.00,101.7,118.2,2,2,108,108,0
140,6.00,6.00,118.7,118.7,2,2,228,228,0
150,6.00,6.00,121.7,121.3,2,2,348,228,0
160,6.00,6.00,121.9,121.9,2,2,348,348,0
170,6.00,6.00,138.2,138.6,2,2,402,402,0
180,6.00,6.00,138.6,138.2,2,2,456,456,0
190,6.00,6.00,126.8,128.6,2,2,456,456,0
200,6.00,6.00,129.2,136.4,2,2,456,456,0
210,6.00,6.00,150.5,149.7,2,2,456,456,0
220,6.00,6.00,145.6,146.6,2,2,456,456,0
230,6.40,6.00,139.9,140.8,2,2,576,576,0
240,6.90,7.00,128.0,128.6,2,2,576,576,0
250,6.60,7.00,100.5,104.2,2,2,576,696,0
260,6.30,6.34,97.1,97.0,2,2,696,696,0
270,6.70,6.38,127.9,124.6,2,2,696,696,2
280,9.00,8.43,146.6,143.4,3,3,750,750,2
290,8.80,10.38,162.8,162.9,3,4,804,804,2
300,9.00,11.00,179.9,179.7,3,4,804,804,2
310,8.00,10.00,178.0,185.0,3,4,804,804,2
320,11.10,10.93,201.1,185.9,4,4,804,804,2
330,11.40,11.18,206.7,190.6,4,4,924,924,2
340,11.60,11.54,199.3,200.2,4,4,924,924,2
350,11.40,13.21,214.6,214.6,4,5,1044,1044,2
360,11.90,13.38,251.9,249.1,4,5,1098,1098,2
370,14.00,12.52,247.6,252.1,5,5,1098,1152,2
380,12.20,12.00,231.7,229.6,5,5,1152,1152,2
390,13.50,15.75,267.6,265.0,5,6,1152,1152,2
400,13.40,18.40,289.6,297.9,5,7,1152,1152,2
410,19.00,17.05,312.9,313.0,7,7,1272,1272,2
420,16.90,19.42,312.9,312.8,7,7,1272,1392,3
430,18.30,16.48,259.0,268.8,7,7,1392,1392,3
440,14.00,16.00,216.5,218.2,6,7,1446,1446,10
450,14.00,16.42,193.4,187.3,6,7,1500,1500,12
460,16.00,20.00,161.8,166.4,7,9,1500,1500,12
470,16.00,21.01,201.6,194.7,7,9,1500,1500,15
480,16.00,22.22,168.3,167.7,7,10,1500,1500,15
490,16.00,23.18,219.5,202.3,7,10,1620,1620,15
500,19.40,23.26,261.9,264.9,8,10,1740,1740,15
510,21.70,23.21,238.3,247.7,9,10,1794,1794,15
520,21.80,26.31,316.3,314.1,9,11,1848,1794,16
530,23.90,29.24,403.7,414.1,9,12,1848,1848,18
540,21.90,30.25,405.6,417.9,9,12,1848,1848,19
550,25.20,29.35,413.0,427.2,10,12,1848,1848,19
560,24.40,28.30,407.3,426.5,10,12,2022,2022,20
570,21.20,27.85,302.6,324.6,9,12,2076,2076,21
580,22.60,27.72,315.6,322.8,10,12,2196,2196,21
590,23.30,29.09,374.6,387.0,10,12,2250,2250,21
600,22.10,29.31,416.5,426.7,10,12,2478,2304,21
