run,t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
cor-vp-nw-mix-10min-wind13-detour1.05-2fac-nano,300,152,1254,34.00,362.4,16,0,1220,1,6,1,4,860,1.00,3,3406
cor-vp-nw-mix-10min-wind13-detour1.05-2fac-nano,480,125,759,46.00,581.1,22,0,1570,2,6,2,30,6405,1.00,3,5226
cor-vp-nw-mix-10min-wind13-detour1.05-2fac-nano,600,2,1110,46.00,587.5,22,0,1770,2,6,3,55,12085,0.88,3,5226
arm-lab-nw-mix-10min-wind13-detour1.05-1fac-nonano,180,191,616,16.00,128.8,7,0,770,1,4,0,2,184,1.00,3,141
arm-lab-nw-mix-10min-wind13-detour1.05-1fac-nonano,300,50,1038,28.00,313.9,13,0,850,1,5,0,9,1558,1.00,3,450
arm-lab-nw-mix-10min-wind13-detour1.05-1fac-nonano,480,776,1282,40.00,399.3,19,1,850,1,5,0,27,6268,1.00,3,450
arm-lab-nw-mix-10min-wind13-detour1.05-1fac-nonano,600,2200,1189,46.00,419.3,22,1,850,1,5,0,41,9758,1.00,107,825
arm-lab-nw-mix-10min-wind13-detour1.05-1fac-nano,180,21,473,18.00,170.1,8,0,930,1,6,0,0,0,1.00,3,390
arm-lab-nw-mix-10min-wind13-detour1.05-1fac-nano,300,157,1283,32.00,311.7,15,0,1130,1,6,1,9,1344,1.00,3,862
arm-lab-nw-mix-10min-wind13-detour1.05-1fac-nano,480,80,226,44.00,549.5,21,0,1730,1,6,4,39,6862,1.00,3,1812
arm-lab-nw-mix-10min-wind13-detour1.05-1fac-nano,600,25,1,46.00,562.2,22,0,1730,1,6,4,65,12272,1.00,3,1837
arm-lab-nw-mix-10min-wind13-detour1.05-2fac-nonano,180,310,388,18.00,137.7,8,0,850,1,5,0,1,54,1.00,5,75
arm-lab-nw-mix-10min-wind13-detour1.05-2fac-nonano,300,41,792,30.00,286.3,14,0,1080,2,6,0,9,1354,1.00,5,75
arm-lab-nw-mix-10min-wind13-detour1.05-2fac-nonano,480,61,3036,38.00,440.6,18,0,1080,2,6,0,34,6214,1.00,5,75
arm-lab-nw-mix-10min-wind13-detour1.05-2fac-nonano,600,541,145,46.00,460.6,22,0,1080,2,6,0,52,10624,1.00,5,75
arm-lab-nw-army-10min-wind13-detour1.05-1fac-nonano,180,45,793,12.00,135.1,5,0,530,1,1,0,5,704,1.00,5,557
arm-lab-nw-army-10min-wind13-detour1.05-1fac-nonano,300,245,239,18.00,162.1,8,0,610,1,2,0,11,1754,1.00,5,557
arm-lab-nw-army-10min-wind13-detour1.05-1fac-nonano,480,153,574,24.00,280.2,11,0,610,1,2,0,28,5034,1.00,5,557
arm-lab-nw-army-10min-wind13-detour1.05-1fac-nonano,600,1,198,24.00,305.6,11,0,610,1,2,0,43,8074,1.00,5,557
arm-lab-nw-army-10min-wind13-detour1.05-1fac-nano,180,123,1319,16.00,170.1,7,0,930,1,6,0,0,0,1.00,3,154
arm-lab-nw-army-10min-wind13-detour1.05-1fac-nano,300,357,1408,32.00,313.6,15,0,1130,1,6,1,8,1234,1.00,3,185
arm-lab-nw-army-10min-wind13-detour1.05-1fac-nano,480,160,1391,44.00,584.1,21,0,1530,1,6,3,38,6548,1.00,3,185
arm-lab-nw-army-10min-wind13-detour1.05-1fac-nano,600,14,910,46.00,596.8,22,0,1730,1,6,4,62,12178,1.00,3,185
arm-lab-nw-army-10min-wind13-detour1.05-2fac-nonano,180,33,1124,16.00,168.5,7,0,850,1,5,0,1,54,1.00,3,649
arm-lab-nw-army-10min-wind13-detour1.05-2fac-nonano,300,170,534,30.00,246.6,14,0,1000,2,5,0,11,1538,1.00,3,1509
arm-lab-nw-army-10min-wind13-detour1.05-2fac-nonano,480,10,313,36.00,417.4,17,0,1000,2,5,0,34,6448,1.00,3,1971
arm-lab-nw-army-10min-wind13-detour1.05-2fac-nonano,600,26,21,38.00,470.1,18,0,1000,2,5,0,53,10858,0.91,3,2064
arm-lab-nw-mix-10min-wind8-detour1.05-2fac-nano,180,48,475,20.00,145.0,9,0,850,1,5,0,0,0,1.00,5,75
arm-lab-nw-mix-10min-wind8-detour1.05-2fac-nano,300,269,568,34.00,292.0,16,0,1130,1,6,1,9,1070,1.00,5,75
arm-lab-nw-mix-10min-wind8-detour1.05-2fac-nano,480,0,34,46.00,516.0,22,0,1480,2,6,2,35,5714,0.86,5,125
arm-lab-nw-mix-10min-wind8-detour1.05-2fac-nano,600,9,43,46.00,544.0,22,0,1680,2,6,3,67,11228,1.00,5,125
arm-lab-nw-mix-10min-wind13-detour1.40-2fac-nano,180,151,1452,14.00,155.8,6,0,850,1,5,0,1,54,1.00,11,683
arm-lab-nw-mix-10min-wind13-detour1.40-2fac-nano,300,286,33,28.00,259.0,13,0,1130,1,6,1,5,984,1.00,11,1514
arm-lab-nw-mix-10min-wind13-detour1.40-2fac-nano,480,61,658,38.00,456.8,18,0,1530,1,6,3,28,5558,1.00,11,1536
arm-lab-nw-mix-10min-wind13-detour1.40-2fac-nano,600,166,67,46.00,496.8,22,0,1530,1,6,3,52,10168,0.89,11,2122
