t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,42.7,0,0,0,0,0
20,2.00,2.00,58.1,50.8,0,0,0,0,0
30,2.00,2.00,80.7,80.2,0,0,0,0,0
40,2.00,2.00,81.5,84.1,0,0,0,0,0
50,2.00,2.00,74.4,73.4,0,0,0,0,0
60,2.00,2.00,89.8,88.9,0,0,0,0,0
70,2.00,2.00,94.0,93.2,0,0,0,0,0
80,4.00,4.00,95.7,96.8,1,1,43,43,0
90,4.00,4.00,83.0,83.6,1,1,86,86,0
100,6.00,6.00,66.4,69.1,2,2,86,86,0
110,6.00,6.00,68.3,63.8,2,2,86,86,0
120,6.00,6.00,106.4,85.5,2,2,86,86,0
130,6.00,6.00,130.7,99.2,2,2,196,196,0
140,6.00,6.00,137.6,119.0,2,2,196,196,0
150,6.00,6.00,125.2,98.4,2,2,196,196,0
160,6.00,6.00,139.3,126.1,2,2,306,306,0
170,6.00,6.00,158.8,144.2,2,2,306,306,0
180,6.00,6.00,177.8,176.5,2,2,349,349,0
190,6.00,6.00,177.7,197.7,2,2,349,392,0
200,6.00,6.00,176.1,197.6,2,2,349,392,0
210,6.00,6.00,157.3,178.1,2,2,392,392,0
220,6.00,6.00,161.8,180.3,2,2,392,392,0
230,6.00,6.00,190.2,190.6,2,2,392,392,0
240,6.00,6.00,183.9,184.3,2,2,392,392,0
250,7.00,6.00,183.3,184.2,2,2,392,392,0
260,7.00,6.00,183.2,182.4,2,2,502,392,0
270,7.00,8.00,196.9,195.9,2,3,502,502,0
280,7.00,9.00,179.5,182.8,2,3,502,612,0
290,7.00,9.00,160.9,163.3,2,3,502,655,0
300,8.30,8.10,123.8,125.9,3,3,612,655,0
310,6.00,8.25,122.0,122.0,3,3,655,698,0
320,10.00,10.00,125.1,127.2,4,4,698,698,0
330,10.50,10.00,141.2,138.0,4,4,698,698,0
340,10.60,11.74,152.0,133.8,4,4,698,698,0
350,10.00,10.46,153.3,155.4,4,4,698,698,0
360,10.60,10.59,149.2,149.0,4,4,698,808,0
370,10.70,10.49,149.1,149.0,4,4,808,808,0
380,11.00,13.85,167.4,166.9,4,5,808,918,0
390,11.20,12.93,195.2,179.8,4,5,918,961,0
400,11.00,16.00,219.6,215.7,4,6,961,1004,0
410,15.60,14.95,242.6,242.3,6,6,1004,1004,0
420,14.00,16.00,269.4,275.8,5,6,1004,1004,6
430,14.00,16.00,257.7,272.7,5,6,1004,1004,9
440,14.00,14.00,258.5,266.5,5,6,1004,1114,10
450,14.00,15.12,241.5,249.5,5,6,1114,1114,10
460,13.10,15.31,254.2,272.5,5,6,1224,1224,10
470,13.80,17.11,286.8,293.9,5,7,1267,1267,10
480,13.90,16.14,286.7,310.4,5,7,1310,1310,10
490,14.00,18.13,302.6,309.7,6,7,1310,1310,10
500,14.30,17.60,333.2,316.9,5,7,1310,1310,13
510,13.30,17.74,273.9,295.9,5,7,1310,1420,15
520,13.40,19.70,282.0,289.0,5,8,1420,1420,15
530,16.00,21.79,289.3,387.6,6,8,1530,1530,15
540,17.50,20.32,341.0,424.9,6,8,1573,1573,16
550,14.90,20.70,339.1,426.8,6,8,1616,1616,17
560,16.60,20.39,339.9,427.6,6,8,1616,1616,17
570,16.10,22.10,400.6,422.4,6,8,1616,1616,19
580,14.50,24.19,392.2,408.6,6,9,1616,1616,21
590,15.40,24.05,382.3,398.7,4,9,1726,1726,23
600,13.10,23.18,329.9,348.1,4,9,1836,1836,25
