t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,966,1000,2.00,42.7,0,0,300,0,0,0,0,0,1.00,3,113
20,822,994,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
30,542,978,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
40,424,539,2.00,55.4,0,0,450,1,0,0,0,0,1.00,3,241
50,308,287,4.00,55.4,1,0,450,1,0,0,0,0,1.00,3,241
60,241,307,4.00,82.4,1,0,530,1,1,0,0,0,1.00,3,241
70,181,144,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,241
80,151,147,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,241
90,137,316,6.00,102.1,2,0,610,1,2,0,0,0,1.00,3,241
100,93,56,8.00,102.1,3,0,610,1,2,0,0,0,1.00,3,241
110,95,164,8.00,121.8,3,0,690,1,3,0,0,0,1.00,3,241
120,88,182,10.00,121.8,4,0,690,1,3,0,0,0,1.00,3,241
130,82,264,10.00,128.8,4,0,770,1,4,0,0,0,1.00,3,241
140,43,15,12.00,154.2,5,0,770,1,4,0,0,0,1.00,3,241
150,81,303,14.00,161.2,6,0,850,1,5,0,0,0,1.00,3,241
160,67,196,14.00,161.2,6,0,850,1,5,0,0,0,1.00,3,241
170,123,836,16.00,193.6,7,0,930,1,6,0,0,0,1.00,3,241
180,153,1393,16.00,206.3,7,0,930,1,6,0,0,0,1.00,3,241
190,89,1053,18.00,219.0,8,0,930,1,6,0,0,0,1.00,3,241
200,91,1191,18.00,231.7,8,0,930,1,6,0,1,270,1.00,3,241
210,137,1456,20.00,244.4,9,0,930,1,6,0,1,270,1.00,3,432
220,132,1281,22.00,244.4,10,0,930,1,6,0,1,270,1.00,3,507
230,168,1456,22.00,257.1,10,0,930,1,6,0,2,540,1.00,3,620
240,137,1099,24.00,257.1,11,0,930,1,6,0,2,540,1.00,3,651
250,175,1458,26.00,282.5,12,0,930,1,6,0,2,540,1.00,3,704
260,280,1458,28.00,282.5,13,0,1130,1,6,1,4,864,1.00,3,1545
270,193,485,28.00,282.5,13,0,1130,1,6,1,4,864,1.00,3,1651
280,228,669,30.00,315.2,14,0,1130,1,6,1,6,1264,1.00,3,1651
290,267,1307,32.00,327.9,15,0,1130,1,6,1,7,1384,1.00,3,1651
300,149,384,34.00,327.9,16,0,1130,1,6,1,8,1654,1.00,3,1651
310,146,522,34.00,353.3,16,0,1130,1,6,1,8,1654,1.00,3,1651
320,178,870,34.00,373.3,16,0,1130,1,6,1,9,1924,1.00,3,1651
330,189,1263,34.00,393.3,16,0,1130,1,6,1,10,2194,1.00,3,1651
340,159,1352,34.00,406.0,16,0,1130,1,6,1,11,2464,1.00,3,1651
350,105,1319,36.00,406.0,17,0,1330,1,6,2,12,2594,1.00,3,1728
360,75,1351,38.00,412.3,18,0,1330,1,6,2,14,2994,1.00,3,1728
370,81,1508,38.00,418.7,18,0,1330,1,6,2,15,3264,1.00,3,1817
380,37,1268,38.00,418.7,18,0,1330,1,6,2,16,3534,1.00,3,1817
390,38,1587,40.00,431.4,19,0,1480,2,6,2,18,3794,1.00,3,1892
400,28,1159,40.00,431.4,19,0,1480,2,6,2,20,4184,1.00,3,1892
410,36,768,40.00,456.8,19,0,1480,2,6,2,21,4454,1.00,3,1892
420,7,79,40.00,456.8,19,0,1480,2,6,2,22,4584,1.00,3,1892
430,36,0,40.00,456.8,19,0,1480,2,6,2,23,4854,0.75,3,1892
440,110,1212,40.00,469.5,19,0,1480,2,6,2,26,5514,1.00,3,1892
450,105,1108,40.00,482.2,19,0,1480,2,6,2,28,5764,1.00,3,1892
460,92,1222,40.00,482.2,19,0,1480,2,6,2,31,6294,1.00,3,1892
470,0,153,40.00,482.2,19,0,1480,2,6,2,34,6824,0.86,3,1892
480,0,5,40.00,482.2,19,0,1480,2,6,2,37,7354,0.92,3,1892
