t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,972,760,2.00,30.0,0,0,300,0,0,0,0,0,1.00,11,165
20,956,754,4.00,42.7,1,0,300,0,0,0,0,0,1.00,11,165
30,741,666,4.00,42.7,1,0,300,0,0,0,0,0,1.00,11,165
40,534,563,4.00,42.7,1,0,450,1,0,0,0,0,1.00,11,165
50,401,264,4.00,42.7,1,0,450,1,0,0,0,0,1.00,11,165
60,327,125,4.00,62.7,1,0,450,1,0,0,0,0,1.00,11,165
70,205,209,4.00,89.7,1,0,530,1,1,0,0,0,1.00,11,165
80,157,205,4.00,89.7,1,0,530,1,1,0,0,0,1.00,11,165
90,135,409,4.00,109.4,1,0,610,1,2,0,0,0,1.00,11,165
100,105,555,4.00,109.4,1,0,610,1,2,0,0,0,1.00,11,165
110,100,816,6.00,109.4,2,0,610,1,2,0,0,0,1.00,11,165
120,66,687,6.00,116.4,3,0,690,1,3,0,0,0,1.00,11,165
130,91,1038,8.00,116.4,3,0,690,1,3,0,1,54,1.00,11,165
140,81,1107,8.00,116.4,3,0,690,1,3,0,1,54,1.00,11,165
150,85,1376,8.00,136.1,3,0,770,1,4,0,1,54,1.00,11,165
160,57,1133,10.00,136.1,4,0,770,1,4,0,1,54,1.00,11,269
170,71,1218,12.00,136.1,5,0,770,1,4,0,1,54,1.00,11,269
180,151,1452,14.00,155.8,6,0,850,1,5,0,1,54,1.00,11,683
190,174,1298,14.00,155.8,6,0,850,1,5,0,1,54,1.00,11,980
200,219,1502,16.00,162.8,7,0,930,1,6,0,1,54,1.00,11,1096
210,249,1503,16.00,188.2,7,0,930,1,6,0,1,54,1.00,11,1412
220,216,1081,16.00,188.2,7,0,930,1,6,0,1,54,1.00,11,1514
230,201,975,18.00,200.9,8,0,930,1,6,0,2,324,1.00,11,1514
240,214,1297,20.00,213.6,9,0,930,1,6,0,3,444,1.00,11,1514
250,210,1318,20.00,213.6,9,0,930,1,6,0,3,444,1.00,11,1514
260,206,1242,22.00,213.6,10,0,930,1,6,0,3,444,1.00,11,1514
270,216,1166,22.00,233.6,10,0,930,1,6,0,4,714,1.00,11,1514
280,274,1228,24.00,246.3,11,0,930,1,6,0,4,714,1.00,11,1514
290,292,802,26.00,246.3,12,0,1130,1,6,1,5,984,1.00,11,1514
300,286,33,28.00,259.0,13,0,1130,1,6,1,5,984,1.00,11,1514
310,230,422,28.00,259.0,13,0,1130,1,6,1,7,1384,1.00,11,1514
320,225,549,28.00,304.4,13,0,1130,1,6,1,8,1514,1.00,11,1514
330,224,966,28.00,317.1,13,0,1130,1,6,1,10,1754,1.00,11,1514
340,173,325,28.00,317.1,13,0,1130,1,6,1,10,1754,1.00,11,1514
350,215,471,30.00,355.2,14,0,1130,1,6,1,11,2024,1.00,11,1514
360,223,578,30.00,367.9,14,0,1130,1,6,1,12,2294,1.00,11,1514
370,258,907,30.00,367.9,14,0,1130,1,6,1,13,2564,1.00,11,1514
380,235,778,30.00,380.6,14,0,1330,1,6,2,14,2834,1.00,11,1514
390,215,903,30.00,406.0,14,0,1330,1,6,2,15,3104,1.00,11,1514
400,172,817,30.00,406.0,14,0,1330,1,6,2,16,3374,1.00,11,1514
410,133,1147,32.00,406.0,15,0,1330,1,6,2,18,3634,1.00,11,1514
420,99,1063,32.00,418.7,15,0,1330,1,6,2,20,3818,1.00,11,1514
430,61,932,34.00,444.1,16,0,1330,1,6,2,21,4088,1.00,11,1514
440,60,849,36.00,444.1,17,0,1330,1,6,2,23,4488,1.00,11,1514
450,114,1367,36.00,444.1,17,0,1330,1,6,2,24,4618,1.00,11,1521
460,126,1228,36.00,444.1,17,0,1330,1,6,2,25,4888,1.00,11,1524
470,131,1541,36.00,456.8,17,0,1330,1,6,2,27,5288,1.00,11,1536
480,61,658,38.00,456.8,18,0,1530,1,6,3,28,5558,1.00,11,1536
490,77,893,38.00,456.8,18,0,1530,1,6,3,30,5958,1.00,11,1536
500,73,577,38.00,456.8,18,0,1530,1,6,3,32,6358,1.00,11,1536
510,86,644,40.00,456.8,19,0,1530,1,6,3,34,6748,1.00,11,1536
520,114,520,40.00,456.8,19,0,1530,1,6,3,36,7148,1.00,11,1536
530,107,1130,42.00,456.8,20,0,1530,1,6,3,38,7398,1.00,11,1536
540,34,1394,42.00,476.8,20,0,1530,1,6,3,40,7788,1.00,11,1582
550,13,1118,42.00,476.8,20,0,1530,1,6,3,42,8038,1.00,11,2075
560,21,1315,43.00,476.8,21,0,1530,1,6,3,44,8438,1.00,11,2075
570,59,1368,46.00,496.8,22,0,1530,1,6,3,46,8828,1.00,11,2122
580,62,810,46.00,496.8,22,0,1530,1,6,3,48,9228,1.00,11,2122
590,101,298,46.00,496.8,22,0,1530,1,6,3,50,9628,1.00,11,2122
600,166,67,46.00,496.8,22,0,1530,1,6,3,52,10168,0.89,11,2122
