t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,42.7,0,0,0,0,0
20,2.00,2.00,52.2,52.7,0,0,0,0,0
30,2.00,2.00,61.1,60.9,0,0,0,0,0
40,2.00,2.00,66.6,67.1,0,0,0,0,0
50,2.00,2.00,62.1,64.0,0,0,0,0,0
60,2.00,2.00,49.0,48.8,0,0,0,0,0
70,2.00,2.00,44.6,45.3,0,0,0,0,0
80,3.00,4.00,42.0,42.0,1,1,54,54,0
90,3.00,4.00,56.9,54.9,1,1,54,54,0
100,4.00,4.00,52.9,53.0,2,2,108,108,0
110,5.00,6.00,55.5,56.3,2,2,108,108,0
120,6.00,6.00,67.1,47.4,2,2,108,108,0
130,6.00,6.00,105.4,76.4,2,2,108,108,0
140,6.00,6.00,111.4,92.9,2,2,108,108,0
150,6.00,6.00,90.1,91.4,2,2,108,228,0
160,6.00,6.00,125.1,101.8,2,2,108,228,0
170,6.00,6.00,136.9,118.7,2,2,228,228,0
180,6.00,6.00,112.9,118.5,2,2,228,348,0
190,6.00,6.00,115.6,114.2,2,2,228,348,1
200,6.00,6.00,126.4,126.1,2,2,228,402,2
210,6.00,6.00,129.9,129.7,2,2,348,402,2
220,6.00,6.00,118.9,120.8,2,2,348,402,2
230,6.00,6.00,116.0,113.8,2,2,402,456,2
240,6.00,6.00,151.0,148.6,2,2,456,456,2
250,8.00,8.00,166.8,164.1,3,3,456,456,2
260,7.00,9.00,177.6,185.8,2,3,456,456,3
270,7.00,9.00,164.8,166.2,2,3,456,576,5
280,7.00,9.00,160.0,160.6,2,3,456,576,6
290,26.50,9.00,157.9,157.7,2,3,576,696,6
300,6.00,8.00,172.5,170.9,2,3,576,750,6
310,6.70,10.00,158.6,161.4,2,4,696,750,6
320,7.00,10.93,147.2,146.8,2,4,696,804,6
330,8.90,10.17,155.3,160.8,3,4,750,804,8
340,8.60,10.96,136.3,153.5,3,4,804,804,8
350,8.30,10.53,127.8,144.1,3,4,804,804,8
360,8.30,10.25,114.3,126.3,3,4,804,924,8
370,8.40,10.00,130.3,141.7,3,4,804,1044,9
380,8.90,12.99,149.2,166.0,3,5,804,1044,11
390,9.00,12.82,144.8,154.6,3,5,804,1098,11
400,8.70,13.03,135.6,156.3,3,5,924,1152,11
410,9.20,12.00,118.4,134.2,3,5,924,1152,13
420,8.90,12.40,142.4,172.6,3,5,1044,1152,13
430,10.90,12.73,161.0,195.9,4,5,1044,1152,13
440,11.20,15.30,176.3,216.4,4,6,1098,1272,13
450,10.80,15.65,178.9,215.3,4,6,1152,1392,13
460,11.10,15.35,179.2,217.2,4,6,1152,1446,13
470,10.50,14.74,184.9,199.5,4,6,1152,1500,13
480,14.00,15.88,231.2,252.3,5,6,1272,1500,13
490,14.00,14.89,274.3,282.6,5,6,1272,1500,13
500,14.00,17.32,305.1,325.3,5,6,1392,1500,13
510,13.00,15.68,323.1,342.6,5,6,1446,1620,14
520,12.60,16.79,281.4,310.4,4,6,1500,1620,18
530,11.90,15.64,238.6,269.9,4,6,1500,1740,18
540,10.00,14.96,172.3,211.6,4,6,1500,1794,18
550,11.60,17.11,200.6,229.7,4,7,1500,1848,18
560,11.00,19.90,230.6,282.0,4,8,1620,1848,18
570,13.10,20.84,259.2,314.7,4,8,1740,1848,19
580,11.00,21.41,218.6,262.9,4,8,1794,1848,20
590,11.00,21.57,239.9,274.1,4,8,1794,1848,20
600,14.50,22.42,310.5,333.0,5,8,1848,1848,20
