t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,966,1000,2.00,42.7,0,0,300,0,0,0,0,0,1.00,3,113
20,822,994,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
30,542,978,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
40,424,539,2.00,55.4,0,0,450,1,0,0,0,0,1.00,3,241
50,308,287,4.00,55.4,1,0,450,1,0,0,0,0,1.00,3,241
60,241,307,4.00,82.4,1,0,530,1,1,0,0,0,1.00,3,241
70,181,144,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,241
80,151,147,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,241
90,112,198,6.00,102.1,2,0,610,1,2,0,0,0,1.00,3,241
100,71,112,8.00,102.1,3,0,610,1,2,0,1,130,1.00,3,241
110,61,297,8.00,102.1,3,0,610,1,2,0,1,130,1.00,3,241
120,52,475,8.00,102.1,3,0,610,1,2,0,2,250,1.00,3,241
130,0,193,8.00,102.1,3,0,610,1,2,0,2,250,0.63,3,241
140,0,243,10.00,102.1,4,0,610,1,2,0,3,370,0.75,3,241
150,7,242,12.00,102.1,6,0,610,1,2,0,4,490,1.00,3,241
160,30,7,16.00,102.1,7,0,610,1,2,0,4,490,1.00,3,241
170,112,167,16.00,102.1,7,0,610,1,2,0,5,610,1.00,3,241
180,160,47,16.00,102.1,7,0,610,1,2,0,6,730,1.00,3,241
