t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,865,1000,2.00,30.0,0,0,300,0,0,0,0,0,1.00,3,300
20,812,1050,2.00,62.7,0,0,300,0,0,0,0,0,1.00,3,539
30,532,1050,2.00,62.7,0,0,300,0,0,0,0,0,1.00,3,596
40,355,968,2.00,62.7,0,0,450,1,0,0,0,0,1.00,3,649
50,286,442,4.00,62.7,1,0,450,1,0,0,0,0,1.00,3,649
60,246,284,4.00,75.4,1,0,530,1,1,0,0,0,1.00,3,649
70,199,268,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,649
80,169,271,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,649
90,143,392,6.00,102.1,2,0,610,1,2,0,0,0,1.00,3,649
100,70,186,8.00,102.1,3,0,610,1,2,0,0,0,1.00,3,649
110,26,171,8.00,109.1,3,0,690,1,3,0,0,0,1.00,3,649
120,10,286,10.00,109.1,4,0,690,1,3,0,0,0,1.00,3,649
130,40,564,10.00,129.1,4,0,690,1,3,0,0,0,1.00,3,649
140,7,334,12.00,136.1,5,0,770,1,4,0,0,0,1.00,3,649
150,40,558,14.00,136.1,6,0,770,1,4,0,0,0,1.00,3,649
160,70,684,14.00,168.5,6,0,850,1,5,0,0,0,1.00,3,649
170,83,1017,16.00,168.5,7,0,850,1,5,0,1,54,1.00,3,649
180,33,1124,16.00,168.5,7,0,850,1,5,0,1,54,1.00,3,649
190,14,1299,20.00,168.5,9,0,850,1,5,0,2,184,1.00,3,649
200,39,1453,20.00,181.2,9,0,850,1,5,0,2,184,1.00,3,1076
210,57,1453,20.00,181.2,9,0,850,1,5,0,3,304,1.00,3,1495
220,0,1217,20.00,181.2,9,0,850,1,5,0,3,304,0.74,3,1509
230,0,1271,22.00,181.2,10,0,1000,2,5,0,3,304,0.91,3,1509
240,0,796,24.00,181.2,11,0,1000,2,5,0,4,574,0.91,3,1509
250,0,433,26.00,181.2,13,0,1000,2,5,0,5,628,0.91,3,1509
260,76,617,28.00,213.9,13,0,1000,2,5,0,7,888,1.00,3,1509
270,132,505,28.00,213.9,13,0,1000,2,5,0,8,1018,1.00,3,1509
280,136,221,28.00,233.9,13,0,1000,2,5,0,8,1018,1.00,3,1509
290,149,119,28.00,246.6,13,0,1000,2,5,0,10,1408,1.00,3,1509
300,170,534,30.00,246.6,14,0,1000,2,5,0,11,1538,1.00,3,1509
310,185,881,30.00,279.3,14,0,1000,2,5,0,12,1658,1.00,3,1509
320,112,788,30.00,279.3,14,0,1000,2,5,0,13,1788,1.00,3,1509
330,8,874,30.00,319.3,14,0,1000,2,5,0,14,2058,1.00,3,1509
340,51,1553,30.00,352.0,14,0,1000,2,5,0,15,2188,1.00,3,1509
350,81,1677,32.00,352.0,15,0,1000,2,5,0,16,2458,1.00,3,1712
360,31,1034,32.00,352.0,15,0,1000,2,5,0,18,2718,1.00,3,1767
370,97,1616,32.00,377.4,15,0,1000,2,5,0,20,3108,1.00,3,1767
380,117,1337,32.00,377.4,15,0,1000,2,5,0,21,3378,1.00,3,1948
390,70,691,32.00,377.4,15,0,1000,2,5,0,22,3508,1.00,3,1948
400,71,886,34.00,377.4,16,0,1000,2,5,0,24,4048,1.00,3,1948
410,107,1735,36.00,377.4,17,0,1000,2,5,0,26,4288,1.00,3,1948
420,67,958,36.00,377.4,17,0,1000,2,5,0,27,4558,1.00,3,1948
430,148,1352,36.00,397.4,17,0,1000,2,5,0,27,4558,1.00,3,1948
440,185,1494,36.00,397.4,17,0,1000,2,5,0,29,5098,1.00,3,1971
450,79,378,36.00,397.4,17,0,1000,2,5,0,30,5368,1.00,3,1971
460,77,762,36.00,397.4,17,0,1000,2,5,0,31,5638,1.00,3,1971
470,50,738,36.00,417.4,17,0,1000,2,5,0,33,6178,1.00,3,1971
480,10,313,36.00,417.4,17,0,1000,2,5,0,34,6448,1.00,3,1971
490,74,656,38.00,437.4,18,0,1000,2,5,0,34,6448,1.00,3,1971
500,91,378,38.00,437.4,18,0,1000,2,5,0,36,6988,1.00,3,1971
510,93,699,38.00,437.4,18,0,1000,2,5,0,38,7388,1.00,3,1971
520,162,1812,38.00,450.1,18,0,1000,2,5,0,40,7638,1.00,3,1971
530,156,1795,38.00,450.1,18,0,1000,2,5,0,41,7908,1.00,3,2064
540,53,755,38.00,450.1,18,0,1000,2,5,0,42,8178,1.00,3,2064
550,116,1297,38.00,470.1,18,0,1000,2,5,0,44,8718,1.00,3,2064
560,95,852,38.00,470.1,18,0,1000,2,5,0,45,8988,1.00,3,2064
570,93,1009,38.00,470.1,18,0,1000,2,5,0,47,9378,1.00,3,2064
580,106,1012,38.00,470.1,18,0,1000,2,5,0,49,9918,1.00,3,2064
590,35,126,38.00,470.1,18,0,1000,2,5,0,50,10048,1.00,3,2064
600,26,21,38.00,470.1,18,0,1000,2,5,0,53,10858,0.91,3,2064
