t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,42.7,0,0,0,0,0
20,2.00,2.00,61.4,61.4,0,0,0,0,0
30,2.00,2.00,80.8,80.4,0,0,0,0,0
40,2.00,2.00,97.4,97.3,0,0,0,0,0
50,2.00,2.00,98.0,98.0,0,0,0,0,0
60,2.00,2.00,98.0,98.0,0,0,0,0,0
70,2.00,2.00,96.5,96.5,0,0,0,0,0
80,4.00,4.00,97.4,97.4,1,1,43,43,0
90,4.00,4.00,98.0,97.9,2,1,86,86,0
100,6.00,6.00,98.0,98.0,2,2,86,86,0
110,6.00,6.00,136.5,121.6,2,2,86,86,0
120,6.00,6.00,122.8,123.4,2,2,196,86,0
130,6.00,6.00,131.8,130.2,2,2,196,196,0
140,6.00,6.00,137.7,138.3,2,2,306,306,0
150,6.00,6.00,138.4,137.8,2,2,349,349,0
160,6.00,6.00,137.1,137.1,2,2,392,392,1
170,6.00,6.00,137.9,138.5,2,2,392,392,1
180,6.00,6.00,131.8,132.0,2,2,392,392,1
190,6.00,6.00,140.7,140.0,2,2,392,392,1
200,7.00,6.00,145.1,162.5,2,2,392,392,2
210,7.00,6.00,161.0,160.6,2,2,502,502,2
220,6.00,7.71,161.0,160.8,2,2,502,502,2
230,6.50,6.51,162.4,162.7,2,2,612,612,2
240,7.10,8.80,160.7,160.6,2,3,655,655,2
250,7.10,9.16,162.0,161.7,3,3,655,655,2
260,8.80,8.78,159.7,161.5,3,3,698,698,2
270,8.40,8.44,134.8,136.2,3,3,698,698,2
280,8.20,8.70,132.7,132.4,3,3,698,698,3
290,8.90,9.12,159.1,157.6,3,3,698,698,3
300,9.50,11.48,185.1,199.7,3,4,698,698,4
310,9.80,11.37,201.6,218.3,3,4,808,808,4
320,10.00,11.68,218.4,219.9,3,4,808,808,4
330,9.60,11.38,216.6,217.3,3,4,918,918,4
340,9.60,12.00,217.1,231.5,3,4,918,961,4
350,8.80,14.00,236.7,244.6,3,5,961,1004,4
360,12.00,14.50,269.3,266.9,4,6,1004,1004,4
370,10.30,16.57,272.0,272.0,4,6,1004,1004,4
380,12.40,14.04,278.5,271.8,5,6,1004,1004,4
390,13.80,15.57,278.6,278.3,5,6,1004,1114,4
400,13.10,18.16,278.6,295.6,5,7,1114,1114,4
410,17.80,17.41,296.0,296.0,7,7,1224,1224,4
420,18.40,18.68,313.0,313.0,7,7,1267,1310,4
430,18.90,20.17,310.4,310.5,8,8,1310,1310,4
440,20.70,20.73,312.5,312.8,8,8,1310,1310,4
450,18.70,20.21,316.9,313.4,8,8,1310,1310,5
460,21.00,21.68,306.6,345.6,8,8,1310,1420,5
470,20.20,20.06,309.6,335.6,8,8,1420,1420,6
480,18.70,21.83,279.6,317.7,9,9,1530,1530,6
490,20.20,21.82,281.3,316.9,9,9,1573,1573,6
500,20.30,24.55,287.3,341.7,9,10,1659,1616,6
510,20.00,24.35,285.1,335.6,9,10,1702,1616,7
520,20.70,22.33,256.7,312.1,9,10,1702,1616,18
530,20.00,22.00,223.3,255.4,9,10,1702,1659,19
540,20.60,25.39,308.6,341.5,9,11,1812,1812,21
550,23.20,24.52,301.3,339.5,10,11,2032,1922,21
560,22.00,24.93,267.6,306.1,10,11,2228,2008,21
570,22.00,26.90,330.7,358.2,10,12,2357,2094,21
580,22.00,26.43,295.2,325.2,12,12,2400,2204,22
590,26.00,27.00,264.6,274.4,12,13,2400,2314,24
600,26.00,28.66,426.5,421.6,12,13,2400,2357,24
