t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,865,1000,2.00,30.0,0,0,300,0,0,0,0,0,1.00,3,300
20,812,1050,2.00,62.7,0,0,300,0,0,0,0,0,1.00,3,539
30,532,1050,2.00,62.7,0,0,300,0,0,0,0,0,1.00,3,596
40,364,1076,2.00,62.7,0,0,450,1,0,0,0,0,1.00,3,649
50,300,912,2.00,75.4,0,0,450,1,0,0,0,0,1.00,3,649
60,215,686,2.00,88.1,0,0,530,1,1,0,0,0,1.00,3,649
70,160,549,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,649
80,130,552,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,649
90,108,660,6.00,102.1,2,0,610,1,2,0,0,0,1.00,3,649
100,63,366,8.00,102.1,3,0,610,1,2,0,0,0,1.00,3,649
110,50,296,8.00,121.8,3,0,690,1,3,0,0,0,1.00,3,649
120,81,538,10.00,121.8,4,0,690,1,3,0,0,0,1.00,3,649
130,97,679,10.00,121.8,4,0,690,1,3,0,0,0,1.00,3,649
140,44,304,12.00,128.8,5,0,770,1,4,0,0,0,1.00,3,649
150,72,762,14.00,141.5,6,0,770,1,4,0,1,54,1.00,3,649
160,47,723,14.00,141.5,6,0,770,1,4,0,1,54,1.00,3,649
170,80,1016,16.00,174.8,7,0,850,1,5,0,1,54,1.00,3,649
180,127,1441,16.00,181.2,7,0,850,1,5,0,1,54,1.00,3,836
190,110,1202,20.00,181.2,9,0,850,1,5,0,1,54,1.00,3,836
200,102,1035,20.00,200.9,9,0,930,1,6,0,1,54,1.00,3,836
210,85,764,22.00,220.9,10,0,930,1,6,0,1,54,1.00,3,836
220,85,241,26.00,220.9,12,0,930,1,6,0,1,54,1.00,3,836
230,179,450,26.00,246.3,12,0,930,1,6,0,2,324,1.00,3,836
240,166,151,27.00,246.3,13,0,930,1,6,0,2,324,1.00,3,836
250,206,539,30.00,259.0,14,0,1130,1,6,1,3,594,1.00,3,836
260,250,731,30.00,259.0,14,0,1130,1,6,1,4,648,1.00,3,836
270,217,527,30.00,279.0,14,0,1130,1,6,1,5,918,1.00,3,836
280,200,621,30.00,299.0,14,0,1130,1,6,1,6,972,1.00,3,836
290,160,551,32.00,311.7,15,0,1130,1,6,1,7,1242,1.00,3,836
300,150,410,34.00,331.7,16,0,1130,1,6,1,8,1512,1.00,3,836
310,220,1291,34.00,331.7,16,0,1130,1,6,1,9,1566,1.00,3,836
320,182,1651,34.00,331.7,16,0,1130,1,6,1,10,1836,1.00,3,836
330,54,1553,34.00,331.7,16,0,1130,1,6,1,10,1836,1.00,3,836
340,22,1474,35.00,351.7,17,0,1280,2,6,1,12,2160,1.00,3,967
350,0,873,38.00,371.7,18,0,1280,2,6,1,12,2160,0.89,3,967
360,54,864,38.00,391.7,18,0,1280,2,6,1,14,2484,1.00,3,967
370,77,566,40.00,429.8,19,0,1280,2,6,1,16,2874,1.00,3,967
380,104,425,40.00,429.8,19,0,1280,2,6,1,17,3144,1.00,3,967
390,104,362,40.00,429.8,19,0,1280,2,6,1,18,3264,1.00,3,967
400,61,370,42.00,429.8,20,0,1280,2,6,1,20,3804,1.00,3,967
410,75,1335,42.00,462.5,20,0,1280,2,6,1,22,4044,1.00,3,967
420,111,1604,42.00,475.2,20,0,1280,2,6,1,23,4164,1.00,3,967
430,89,1036,42.00,495.2,20,0,1480,2,6,2,24,4434,1.00,3,967
440,83,1380,42.00,495.2,20,0,1480,2,6,2,28,5224,1.00,3,967
450,62,1179,42.00,495.2,20,0,1480,2,6,2,29,5278,1.00,3,967
460,80,1869,44.00,507.9,21,0,1480,2,6,2,32,5798,1.00,3,967
470,49,1529,44.00,507.9,21,0,1480,2,6,2,34,6058,1.00,3,1044
480,33,997,44.00,527.9,21,0,1480,2,6,2,35,6328,1.00,3,1044
490,45,791,44.00,527.9,21,0,1480,2,6,2,37,6868,1.00,3,1044
500,40,923,44.00,540.6,21,0,1480,2,6,2,39,7258,1.00,3,1044
510,28,962,44.00,540.6,21,0,1680,2,6,3,41,7658,1.00,3,1044
520,37,1479,46.00,553.3,22,0,1680,2,6,3,43,7918,1.00,3,1044
530,60,1617,46.00,566.0,22,0,1680,2,6,3,46,8438,1.00,3,1166
540,76,1524,46.00,566.0,22,0,1680,2,6,3,48,8978,1.00,3,1166
550,40,1017,46.00,566.0,22,0,1680,2,6,3,50,9378,1.00,3,1166
560,44,1061,46.00,566.0,22,0,1680,2,6,3,52,9778,1.00,3,1166
570,67,1329,46.00,566.0,22,0,1680,2,6,3,54,10318,1.00,3,1166
580,27,597,46.00,566.0,22,0,1680,2,6,3,56,10708,1.00,3,1166
590,45,516,46.00,566.0,22,0,1680,2,6,3,58,11248,1.00,3,1166
600,12,52,46.00,566.0,22,0,1680,2,6,3,61,11918,0.88,3,1166
