match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
0,1,131,armwar,armjeth,0,west,0,5,11,1350,1375,x,wiped,20.5,8.5,5,0,1.000,0.000,0,7050
0,0,130,armflash,corlevlr,1,east,0,10,5,1100,1100,y,wiped,14.5,7.5,0,5,0.000,0.797,8439,1498
1,1,126,armpw,corak,0,west,0,23,29,1242,1247,x,wiped,30.5,6.0,5,0,0.075,0.000,8311,8573
0,1,132,armham,corlevlr,0,west,0,10,6,1300,1320,y,wiped,23.0,11.0,0,6,0.000,0.548,11415,3960
1,0,127,corstorm,corgator,3,east,1,11,10,1210,1200,y,wiped,29.0,7.5,0,8,0.000,0.342,8503,5770
0,0,131,armrock,corstorm,0,west,0,10,11,1200,1210,y,wiped,45.5,10.0,0,4,0.000,0.258,8009,6456
1,0,128,corthud,armstump,0,west,0,8,5,1120,1125,x,wiped,36.0,8.5,3,0,0.271,0.000,6899,9489
0,1,133,armflash,corllt,0,west,0,9,11,990,990,y,wiped,62.0,8.5,0,1,0.000,0.021,6926,7409
1,1,127,cormist,armllt,3,east,1,6,11,930,935,x,wiped,59.5,13.5,6,0,1.000,0.000,0,7045
1,0,129,corcrash,armflash,2,west,1,7,8,875,880,y,wiped,15.0,7.5,0,8,0.000,0.975,4516,152
0,1,134,corak,corlevlr,3,east,1,31,6,1333,1320,y,wiped,15.0,8.0,0,6,0.000,0.882,11850,1042
0,0,132,corwolv,cormist,1,east,0,8,9,1360,1395,y,wiped,42.5,9.5,0,7,0.000,0.366,6312,5300
1,1,128,armrock,armjeth,3,east,1,10,10,1200,1250,x,wiped,27.0,9.0,10,0,0.944,0.000,412,6978
0,0,133,armwar,armjeth,1,east,0,5,11,1350,1375,x,wiped,18.0,8.0,5,0,0.992,0.000,68,7034
1,0,130,armrock,armart,0,west,0,9,8,1080,1080,x,wiped,30.0,10.5,9,0,0.669,0.000,2233,5267
0,1,135,armwar,corthud,1,east,0,4,8,1080,1120,y,wiped,28.0,9.5,0,4,0.000,0.253,6704,6852
1,1,129,armrock,armstump,1,east,0,11,6,1320,1350,y,wiped,32.0,8.5,0,6,0.000,0.368,8587,7033
0,0,134,corstorm,armjanus,3,east,1,11,5,1210,1200,x,wiped,33.0,10.0,5,0,0.133,0.000,8121,5612
0,1,136,corak,cormist,1,east,0,29,8,1247,1240,x,wiped,28.5,6.5,20,0,0.390,0.000,5272,7138
1,0,131,armjanus,corwolv,1,east,0,5,7,1200,1190,x,wiped,26.5,11.5,5,0,0.509,0.000,2670,6500
1,0,132,armjanus,corlevlr,1,east,0,5,5,1200,1100,y,wiped,17.0,11.0,0,4,0.000,0.370,5680,4788
0,0,135,corraid,cormist,0,west,0,6,9,1410,1395,x,wiped,33.5,7.0,6,0,0.648,0.000,4325,8271
1,1,130,armjanus,armllt,2,west,1,5,14,1200,1190,y,wiped,60.5,15.0,0,6,0.000,0.363,5272,7262
0,1,137,armjanus,cormist,3,east,1,5,8,1200,1240,x,wiped,57.0,8.5,1,0,0.067,0.000,5152,8298
1,0,133,corthud,armjanus,1,east,0,10,6,1400,1440,x,wiped,27.5,10.0,5,0,0.252,0.000,9315,6919
0,0,136,armpw,armstump,3,east,1,21,5,1134,1125,x,wiped,23.0,7.0,6,0,0.201,0.000,7343,9305
1,1,131,armjeth,corthud,3,east,1,10,9,1250,1260,y,wiped,21.5,9.5,0,9,0.000,0.985,7078,160
0,1,138,corstorm,armflash,0,west,0,11,11,1210,1210,y,wiped,24.5,7.5,0,7,0.000,0.328,8443,5878
0,0,137,armpw,corcrash,2,west,1,23,10,1242,1250,x,wiped,15.0,7.5,23,0,0.868,0.000,1183,6467
1,0,134,armstump,corwolv,2,west,1,6,8,1350,1360,x,wiped,31.5,9.5,6,0,0.563,0.000,4907,6291
1,1,132,armwar,corcrash,3,east,1,5,11,1350,1375,x,wiped,19.0,8.5,5,0,1.000,0.000,0,7168
1,1,133,armjanus,corlevlr,0,west,0,5,5,1200,1100,y,wiped,16.0,10.5,0,5,0.000,0.470,5856,3847
0,1,139,armham,corraid,3,east,1,9,5,1170,1175,x,wiped,41.5,9.0,3,0,0.215,0.000,7595,10529
0,0,138,armham,armham,1,east,0,9,9,1170,1170,y,wiped,45.5,10.5,0,2,0.000,0.072,9839,8968
1,0,135,armstump,cormist,2,west,1,5,7,1125,1085,x,wiped,32.5,7.0,5,0,0.652,0.000,3213,6519
0,1,140,armstump,armart,2,west,1,6,10,1350,1350,x,wiped,29.0,9.0,6,0,0.587,0.000,4656,6851
0,0,139,corstorm,corthud,2,west,1,10,8,1100,1120,y,wiped,31.5,10.0,0,7,0.000,0.494,8422,4724
1,0,136,armwar,armwar,2,west,1,4,4,1080,1080,x,wiped,23.0,9.0,3,0,0.022,0.000,6452,6606
1,1,134,corthud,corllt,3,east,1,9,14,1260,1260,x,wiped,54.5,15.5,6,0,0.511,0.000,4970,9998
0,0,140,corak,armstump,1,east,0,26,5,1118,1125,y,wiped,31.0,6.5,0,3,0.000,0.194,8595,7556
0,1,141,corthud,armllt,1,east,0,9,15,1260,1275,x,wiped,52.5,16.5,5,0,0.537,0.000,4692,10641
