match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
4,0,98,corgator,corgator,2,west,1,10,10,1200,1200,x,wiped,30.0,6.5,4,0,0.186,0.000,6983,8654
5,0,96,armjanus,corwolv,6,west,1,5,7,1200,1190,x,wiped,19.5,12.0,5,0,0.532,0.000,2567,6397
4,1,96,armstump,cormist,5,east,0,5,7,1125,1085,x,wiped,37.0,7.5,4,0,0.552,0.000,4176,6622
5,0,97,armpw,corlevlr,3,east,1,21,5,1134,1100,y,wiped,12.5,8.0,0,5,0.000,0.969,9779,234
4,0,99,armjanus,armfav,5,east,0,5,39,1200,1209,x,wiped,17.0,6.0,2,0,0.202,0.000,4406,10332
5,1,102,armrock,armstump,3,east,1,11,6,1320,1350,y,wiped,38.5,8.5,0,4,0.000,0.283,8574,8151
4,1,97,cormist,corfav,7,east,1,8,48,1240,1248,x,wiped,34.5,5.0,4,0,0.285,0.000,5116,6050
5,1,103,corcrash,corraid,5,east,0,11,6,1375,1410,y,wiped,28.0,8.5,0,6,0.000,0.825,7718,2199
5,0,98,corthud,armflash,4,west,0,8,10,1120,1100,y,wiped,47.0,7.0,0,1,0.000,0.031,9238,7907
4,1,98,corthud,corfav,6,west,1,9,48,1260,1248,x,wiped,17.0,6.5,9,0,0.552,0.000,4591,6644
4,0,100,armjeth,armart,6,west,1,10,9,1250,1215,y,wiped,61.5,18.0,0,3,0.000,0.252,7058,4725
4,1,99,corstorm,corfav,4,west,0,11,47,1210,1222,x,wiped,22.5,5.5,5,0,0.228,0.000,6540,8716
